No,Albüm,Yıl,Şarkı,Tür,Konu,Duygu Tonu,Süre,Söz-Müzik,Sanatçı,YouTube
1,Kadın,1996,Vazgeçtim Dünyadan,Balad,Tacize uğrayıp terk edilen bir kadının trajik çaresizliği,Trajik-isyankâr,5:37,Şebnem Ferah,Şebnem Ferah,sBE_mGu7yGg
2,Kadın,1996,Deli Kızım Uyan,Rock,Ölümcül hastalığa yakalanan kardeşe seslenen bir vedalaşma,Hüzünlü-yakıcı,4:25,"Şebnem Ferah, Sezen Aksu / Şebnem Ferah",Şebnem Ferah,u7tUGIMviZI
3,Kadın,1996,İyi Gün Dostlarım,Rock,Zor günde yalnız bırakan sahte dostlara duyulan öfke,Öfkeli-hesaplaşan,5:17,Şebnem Ferah,Şebnem Ferah,SPCD2FiL29M
4,Kadın,1996,Bu Aşk Fazla Sana,Balad,Karşılıksız ve yıpratıcı bir aşkta sınırın aşılması,Kırgın-uyarıcı,4:28,Şebnem Ferah,Şebnem Ferah,vqKHyby8kjU
5,Kadın,1996,Bırak Kadının Olayım,Pop-Rock,Sevdiğine bağlılık ve birliktelik için yalvaran aşk itirafı,Romantik-yalvaran,4:03,Şebnem Ferah,Şebnem Ferah,MnnAvM6_YxA
6,Kadın,1996,Fırtına,Rock,Sakin görünüşün ardındaki içsel kaygı ve duygusal çalkantı,Gergin-çalkantılı,5:47,"Şebnem Ferah, Sezen Aksu / Şebnem Ferah",Şebnem Ferah,YMCqAp3Vigs
7,Kadın,1996,Yağmurlar,Balad,Terk edilmişliğin ve yasın gözyaşına dönüşmesi,Melankolik-yıkık,5:06,"Şebnem Ferah, Sezen Aksu / Şebnem Ferah",Şebnem Ferah,GznRBEUOchY
8,Kadın,1996,Yeniden Doğup Gelsem,Balad,Yeniden doğsa aynı sevgiyi seçeceğini düşleyen hayat muhasebesi,Hüzünlü-umutlu,4:12,"Şebnem Ferah, Sezen Aksu / Şebnem Ferah",Şebnem Ferah,eE0p98RrPJ0
9,Kadın,1996,Durma,Rock,Geçmiş korkulara takılmadan cesaretle yeniden başlama çağrısı,Umutlu-cesaretlendirici,4:17,"Şebnem Ferah / İskender Paydaş, Tarkan Gözübüyük",Şebnem Ferah,gglmwP1lzaE
10,Kadın,1996,Buradan Göçerken,Balad,Hayatın geçiciliği karşısında geriye kalanların sorgulanması,Melankolik-düşünceli,3:46,Şebnem Ferah,Şebnem Ferah,jfuCkatMHAM
11,Artık Kısa Cümleler Kuruyorum,1999,Oyunlar,Rock,Hayattaki oyunlarda kişinin kendi payını sorgulaması,Hesaplaşan-itirafçı,4:58,Şebnem Ferah,Şebnem Ferah,5OPp9wUvgw8
12,Artık Kısa Cümleler Kuruyorum,1999,Ay,Balad,-,Melankolik,4:46,Şebnem Ferah,Şebnem Ferah,9TV6dxyd7wA
13,Artık Kısa Cümleler Kuruyorum,1999,Bugün,Rock,Ablasının kaybıyla yüzleşme ve derin bir yas,Yaslı-hüzünlü,4:45,Şebnem Ferah,Şebnem Ferah,WJ4MNKotScw
14,Artık Kısa Cümleler Kuruyorum,1999,Kalbim,Balad,İdealize edilen aşkın gerçeklikle çarpışıp kendini onarması,Hüzünlü-onarıcı,3:16,Şebnem Ferah,Şebnem Ferah,eK_V3j-0e-s
15,Artık Kısa Cümleler Kuruyorum,1999,Herkes Bilsin İstedim,Balad,Derin ve çelişkili acı veren bir aşk deneyimi,Öfkeli-yaralı,4:26,Şebnem Ferah,Şebnem Ferah,SPK-xunqico
16,Artık Kısa Cümleler Kuruyorum,1999,Oyunun Sonu,Rock,Bir ilişkinin kaçınılmaz sonuyla yüzleşme,Hüzünlü-kabullenmiş,5:32,Şebnem Ferah,Şebnem Ferah,8rO9s5L55Ww
17,Artık Kısa Cümleler Kuruyorum,1999,Üvey,Rock,Çocuklara yönelik cinsel istismara dikkat çekme,Karanlık-sert,4:15,Şebnem Ferah,Şebnem Ferah,m51CO8-xW30
18,Artık Kısa Cümleler Kuruyorum,1999,Nefessiz Kaldım,Rock,Aşk içinde tutsaklık ve özgürlük kaybı hissi,Sıkışmış-çaresiz,4:02,Şebnem Ferah,Şebnem Ferah,vQn6CEs4z3o
19,Artık Kısa Cümleler Kuruyorum,1999,Yorgun,Rock,Varoluşsal yorgunluk ve hayatın ağırlığı,Bitkin-melankolik,4:13,Deniz Yılmaz,Şebnem Ferah,-vzWOk9qVxk
20,Artık Kısa Cümleler Kuruyorum,1999,Artık Kısa Cümleler Kuruyorum,Balad,Acılardan sonra olgunlaşıp hayatı kabullenme,Sakin-kabullenmiş,4:10,Şebnem Ferah,Şebnem Ferah,8H1_z8jeGb8
21,Perdeler,2001,Sigara,Rock,Toplumsal rollere uyum baskısı ve bastırılmış kimlik,Hüzünlü-öfkeli,4:55,Şebnem Ferah,Şebnem Ferah,nvo-M2IzBGU
22,Perdeler,2001,Aşk,Balad,Özlenen ve hayal edilen bir aşkın betimlenmesi,Sıcak-umutlu,3:48,Şebnem Ferah,Şebnem Ferah,xm7uoZcNKdo
23,Perdeler,2001,Sil Baştan,Rock,Yorgunluktan kurtulup hayata yeniden başlama arzusu,Kararlı-ferahlayan,5:09,Şebnem Ferah,Şebnem Ferah,oAg1_yIgpC4
24,Perdeler,2001,Nereye Kadar,Rock,Travmalar karşısında dayanıklılığın sınırlarını sorgulama,Yorgun-isyankâr,5:01,Şebnem Ferah,Şebnem Ferah,59nCi7b-4Wk
25,Perdeler,2001,Perdeler,Balad,İç karmaşa ile umuda açılan pencere arası gerilim,Melankolik-umutlu,5:07,Şebnem Ferah,Şebnem Ferah,6myp1CKB-mY
26,Perdeler,2001,Günaydın Sevgilim,Balad,Sevgiliyle geçirilen huzurlu ve mutlu anların tasviri,Sıcak-huzurlu,3:17,Şebnem Ferah,Şebnem Ferah,EkIceUIdyPc
27,Perdeler,2001,Dünya,Rock,Dünyanın çılgınlığına ve baş döndürücü kaosuna sitem,Şaşkın-sitemkâr,4:38,Şebnem Ferah,Şebnem Ferah,axBWaijUx9k
28,Perdeler,2001,Saatim Çalmadan,Pop-Rock,Sevgiliye duyulan özlemin şiirsel bir ifadesi,Romantik-özlemli,4:26,Şebnem Ferah,Şebnem Ferah,E7fwlvzJYx0
29,Perdeler,2001,Korkarak Yaşıyorsan,Rock,Kayıplar karşısında cesaretle ve tam yaşama çağrısı,Cesaretlendirici-isyankâr,3:31,Şebnem Ferah,Şebnem Ferah,MZxzdHeWEIw
30,Perdeler,2001,Yemen Türküsü,Balad,Yemen'e giden bir askerin gurbet ve ayrılık ağıdı,Hüzünlü (ağıt),-,Anonim (halk türküsü) / derleyen Muzaffer Sarısözen,Şebnem Ferah,AZWc3QdX_7I
31,Kelimeler Yetse,2003,İyi-Kötü (Dans Pisti),Rock,İnsanın içindeki iyi-kötü çatışması ve gerçek bağ arayışı,Sorgulayıcı-melankolik,5:54,Şebnem Ferah,Şebnem Ferah,LDd-k6a4WjU
32,Kelimeler Yetse,2003,Babam Oğlum,Balad,Ayrılık sonrası özlemi kabullenme süreci,Hüzünlü-içten,5:36,Şebnem Ferah,Şebnem Ferah,MNnMaOqafrM
33,Kelimeler Yetse,2003,Ben Şarkımı Söylerken,Rock,Terk edilmenin yarattığı isyan ve sesini duyurma direnci,Öfkeli-isyankâr,4:21,Şebnem Ferah,Şebnem Ferah,LylIwh-jkOg
34,Kelimeler Yetse,2003,Senin Adın Ne,Pop-Rock,Nefrete kapılmış birini insanlığına döndürme çabası,Sakin-uyarıcı,3:40,Şebnem Ferah,Şebnem Ferah,r_5nSMj8NM0
35,Kelimeler Yetse,2003,Gözlerimin Etrafındaki Çizgiler,Balad,Geçmiş bir aşkın izini hâlâ taşıyıp unutamama,Melankolik-özlemli,6:26,Şebnem Ferah,Şebnem Ferah,Wq5HFg6KGFk
36,Kelimeler Yetse,2003,Çocukken Sahip Olduğum Kırmızı Rugan Ayakkabılar,Balad,Çocukluk anısı üzerinden kayıp ve nostaljiyi işleme,Nostaljik-hüzünlü,5:25,Şebnem Ferah,Şebnem Ferah,JKEun2L8848
37,Kelimeler Yetse,2003,Mayın Tarlası,Rock,Aşk uğruna körleşme ve yıkıcı hayal kırıklığı,Yıkıcı-hayal kırıklığı,5:24,Şebnem Ferah,Şebnem Ferah,ihqJZgr6Ex4
38,Kelimeler Yetse,2003,Gözyaşlarımızın Tadı Aynı,Balad,Ortak insanlık acısı ve hayata tutunma çağrısı,Hüzünlü-teselli edici,5:31,Şebnem Ferah,Şebnem Ferah,I5RI-nbQL0A
39,Kelimeler Yetse,2003,Daha İyi Olmaz Mıydı,Pop-Rock,Ayrılığın biçimine itiraz ve özgürleşen bir aşk anlayışı,Sitemkâr-özgürleşen,4:13,Şebnem Ferah,Şebnem Ferah,nnFhWNjkG_c
40,Kelimeler Yetse,2003,Her Şey İnsanlar İçin,Rock,Zorluklara rağmen umudu ve yaşama bağlılığı savunma,Umutlu-dayanıklı,4:18,Şebnem Ferah,Şebnem Ferah,-w-f_BdJCsE
41,Can Kırıkları,2005,Okyanus,Rock,Bilinmezliğe adım atıp özgürlüğe ulaşma çağrısı,Cesaretlendirici-uyandırıcı,4:35,Şebnem Ferah,Şebnem Ferah,EM77kxRpV9A
42,Can Kırıkları,2005,Can Kırıkları,Balad,İçsel acının ve gizli duyguların dışavurumu,Melankolik-içe dönük,5:48,Şebnem Ferah,Şebnem Ferah,EcN6XD99NGU
