No,Kıta,Nüfus (milyon),Ülke,Yüzölçümü (bin km²),GSYH (milyar $),Kişi Başı Gelir ($),Bağımsızlık Yılı,Bayrak Kabul Yılı,Başkent,Para Birimi,Resmi Dil,Görsel
1,Asya,1425,Çin,9597,17900,12600,1949,1949,Pekin,Yuan,Çince,https://flagcdn.com/w320/cn.png
2,Asya,1428,Hindistan,3287,3700,2600,1947,1947,Yeni Delhi,Rupi,Hintçe ve İngilizce,https://flagcdn.com/w320/in.png
3,Kuzey Amerika,335,ABD,9834,27000,80000,1776,1960,Washington DC,Dolar,İngilizce,https://flagcdn.com/w320/us.png
4,Asya,277,Endonezya,1905,1400,5000,1945,1945,Cakarta,Rupiah,Endonezce,https://flagcdn.com/w320/id.png
5,Asya,240,Pakistan,881,340,1500,1947,1947,İslamabad,Rupi,Urduca ve İngilizce,https://flagcdn.com/w320/pk.png
6,Güney Amerika,216,Brezilya,8516,2170,10000,1822,1889,Brasilia,Real,Portekizce,https://flagcdn.com/w320/br.png
7,Afrika,223,Nijerya,924,390,1750,1960,1960,Abuja,Nayra,İngilizce,https://flagcdn.com/w320/ng.png
8,Asya,171,Bangladeş,148,460,2700,1971,1972,Dakka,Taka,Bengalce,https://flagcdn.com/w320/bd.png
9,Avrupa-Asya,144,Rusya,17098,2200,15300,1991,1991,Moskova,Ruble,Rusça,https://flagcdn.com/w320/ru.png
10,Kuzey Amerika,128,Meksika,1964,1800,14000,1821,1968,Meksiko,Peso,İspanyolca,https://flagcdn.com/w320/mx.png
11,Asya,125,Japonya,378,4200,33500,MÖ 660,1870,Tokyo,Yen,Japonca,https://flagcdn.com/w320/jp.png
12,Afrika,123,Etiyopya,1104,160,1400,MÖ 980,1996,Addis Ababa,Birr,Amharca,https://flagcdn.com/w320/et.png
13,Afrika,110,Mısır,1001,395,3600,1922,1984,Kahire,Mısır Lirası,Arapça,https://flagcdn.com/w320/eg.png
14,Asya,117,Filipinler,300,440,3800,1898,1898,Manila,Peso,Filipince ve İngilizce,https://flagcdn.com/w320/ph.png
15,Asya,98,Vietnam,331,430,4350,1945,1955,Hanoi,Dong,Vietnamca,https://flagcdn.com/w320/vn.png
16,Avrupa-Asya,85,Türkiye,784,1100,13000,1923,1936,Ankara,Türk Lirası,Türkçe,https://flagcdn.com/w320/tr.png
17,Asya,89,İran,1648,400,4500,MÖ 550,1980,Tahran,Riyal,Farsça,https://flagcdn.com/w320/ir.png
18,Avrupa,84,Almanya,357,4450,53000,1871,1949,Berlin,Euro,Almanca,https://flagcdn.com/w320/de.png
19,Asya,36,Suudi Arabistan,2150,1070,30000,1932,1973,Riyad,Riyal,Arapça,https://flagcdn.com/w320/sa.png
20,Avrupa,68,Fransa,644,3000,44500,843,1794,Paris,Euro,Fransızca,https://flagcdn.com/w320/fr.png
21,Avrupa,68,Birleşik Krallık,244,3350,49000,1707,1801,Londra,Sterlin,İngilizce,https://flagcdn.com/w320/gb.png
