No,Bağlı Okyanus,Yüzölçümü (bin km²),Deniz,Ortalama Derinlik (m),Kıyı Bölgesi
1,Atlas Okyanusu,2500,Akdeniz,1500,Güney Avrupa - Kuzey Afrika - Anadolu
2,Atlas Okyanusu,436,Karadeniz,1250,Türkiye - Ukrayna - Rusya - Bulgaristan
3,Atlas Okyanusu,214,Ege Denizi,350,Türkiye - Yunanistan
4,Atlas Okyanusu,11,Marmara Denizi,250,Türkiye (iç deniz)
5,Hint Okyanusu,438,Kızıldeniz,490,Mısır - Suudi Arabistan - Sudan
6,Hint Okyanusu,3862,Arap Denizi,2700,Hindistan - Umman - Pakistan
7,Hint Okyanusu,798,Andaman Denizi,1050,Myanmar - Tayland - Hindistan
8,Atlas Okyanusu,377,Baltık Denizi,55,İsveç - Finlandiya - Polonya - Almanya
9,Atlas Okyanusu,570,Kuzey Denizi,95,Birleşik Krallık - Norveç - Hollanda
10,Atlas Okyanusu,1380,Norveç Denizi,1800,Norveç - İzlanda
11,Kuzey Buz Denizi,1400,Barents Denizi,230,Norveç - Rusya
12,Büyük Okyanus,2000,Bering Denizi,1550,Rusya - Alaska (ABD)
13,Büyük Okyanus,1583,Ohotsk Denizi,860,Rusya - Japonya
14,Büyük Okyanus,978,Japon Denizi,1750,Japonya - Kore - Rusya
15,Büyük Okyanus,1249,Doğu Çin Denizi,350,Çin - Japonya - Tayvan
16,Büyük Okyanus,3500,Güney Çin Denizi,1200,Çin - Vietnam - Filipinler - Malezya
17,Büyük Okyanus,4791,Mercan Denizi,2400,Avustralya - Papua Yeni Gine
18,Büyük Okyanus,2300,Tasman Denizi,3300,Avustralya - Yeni Zelanda
19,Atlas Okyanusu,2754,Karayip Denizi,2200,Orta Amerika - Antiller
20,Atlas Okyanusu,139,Adriyatik Denizi,250,İtalya - Hırvatistan - Arnavutluk
