No,Ülke/Bölge,Yüzölçümü (km²),Göl,Tür,Maks Derinlik (m),Yükseklik (m),Beslenme Kaynağı
1,Orta Asya-Kafkasya,371000,Hazar Denizi (Göl),Tuzlu su,1025,-28,Volga ve Ural nehirleri
2,ABD-Kanada,82100,Superior Gölü,Tatlı su,406,183,Nehirler ve yağış
3,Tanzanya-Uganda-Kenya,68870,Victoria Gölü,Tatlı su,84,1134,Kagera Nehri ve yağış
4,ABD-Kanada,59600,Huron Gölü,Tatlı su,229,176,Nehirler ve yağış
5,ABD,58000,Michigan Gölü,Tatlı su,281,176,Nehirler ve yağış
6,Tanzanya-Kongo DC,32900,Tanganika Gölü,Tatlı su,1470,773,Ruzizi Nehri
7,Rusya,31700,Baykal Gölü,Tatlı su,1642,456,Selenga Nehri
8,Kanada,31000,Büyük Ayı Gölü,Tatlı su,446,156,Yağış ve akarsular
9,Malavi-Mozambik,29500,Malavi Gölü,Tatlı su,706,500,Ruhuhu Nehri
10,Kanada,27200,Büyük Köle Gölü,Tatlı su,614,156,Slave Nehri
11,ABD-Kanada,25700,Erie Gölü,Tatlı su,64,174,Detroit Nehri
12,ABD-Kanada,18960,Ontario Gölü,Tatlı su,244,75,Niagara Nehri
13,Rusya,17700,Ladoga Gölü,Tatlı su,230,5,Svir ve Volhov nehirleri
14,Kazakistan-Özbekistan,17000,Aral Gölü,Tuzlu su,42,42,Amuderya ve Siriderya
15,Kazakistan,16400,Balkaş Gölü,Yarı tuzlu,26,341,İli Nehri
16,Peru-Bolivya,8372,Titicaca Gölü,Tatlı su,281,3812,Yağış ve buzul suları
17,Türkiye,3713,Van Gölü,Sodalı,451,1640,Yağış ve akarsular
18,Türkiye,1500,Tuz Gölü,Tuzlu su,2,905,Yağış ve yer altı suyu
19,Çad-Nijer-Nijerya,1350,Çad Gölü,Tatlı su,11,240,Şari Nehri
20,Türkiye,656,Beyşehir Gölü,Tatlı su,10,1116,Akarsular ve kaynaklar
21,Türkiye,482,Eğirdir Gölü,Tatlı su,14,917,Akarsular ve kaynaklar
22,Türkiye,298,İznik Gölü,Tatlı su,80,85,Akarsular ve yağış
23,Türkiye,45,Sapanca Gölü,Tatlı su,52,31,Akarsular ve yağış
