No,Bölge,İl,Ova,Sulayan Akarsu,Başlıca Ürünler,İklim,Tarım Tipi
1,Akdeniz,Adana,Çukurova,Seyhan ve Ceyhan,Pamuk ve narenciye,Akdeniz iklimi,Sulu tarım
2,İç Anadolu,Konya,Konya Ovası,Çarşamba Çayı,Buğday ve şekerpancarı,Karasal iklim,Sulu ve kuru tarım
3,Güneydoğu Anadolu,Şanlıurfa,Harran Ovası,Fırat (GAP sulaması),Pamuk ve mısır,Karasal-kurak,Sulu tarım
4,Karadeniz,Samsun,Bafra Ovası,Kızılırmak,Sebze ve çeltik,Karadeniz iklimi,Sulu tarım
5,Karadeniz,Samsun,Çarşamba Ovası,Yeşilırmak,Fındık ve sebze,Karadeniz iklimi,Sulu tarım
6,Ege,Manisa,Gediz Ovası,Gediz,Üzüm ve pamuk,Akdeniz iklimi,Sulu tarım
7,Ege,Aydın,Büyük Menderes Ovası,Büyük Menderes,Pamuk ve incir,Akdeniz iklimi,Sulu tarım
8,Ege,İzmir,Küçük Menderes Ovası,Küçük Menderes,Sebze ve meyve,Akdeniz iklimi,Sulu tarım
9,Ege,İzmir,Bakırçay Ovası,Bakırçay,Tütün ve zeytin,Akdeniz iklimi,Kuru ve sulu tarım
10,Akdeniz,Hatay,Amik Ovası,Asi,Pamuk ve buğday,Akdeniz iklimi,Sulu tarım
11,Marmara,Tekirdağ,Ergene Ovası,Ergene,Ayçiçeği ve buğday,Karasal-geçiş,Kuru tarım
12,Marmara,Bursa,Bursa Ovası,Nilüfer Çayı,Meyve ve sebze,Marmara geçiş,Sulu tarım
13,Doğu Anadolu,Erzurum,Erzurum Ovası,Karasu,Tahıl ve yem bitkileri,Karasal-sert,Kuru tarım ve hayvancılık
14,Doğu Anadolu,Muş,Muş Ovası,Murat,Şekerpancarı ve tahıl,Karasal iklim,Sulu ve kuru tarım
15,Doğu Anadolu,Iğdır,Iğdır Ovası,Aras,Pamuk ve kayısı,Mikroklima-kurak,Sulu tarım
16,Akdeniz,Antalya,Antalya Ovası,Aksu ve Düden,Örtü altı sebze ve narenciye,Akdeniz iklimi,Sera tarımı
17,Ege,Aydın,Söke Ovası,Büyük Menderes,Pamuk ve zeytin,Akdeniz iklimi,Sulu tarım
18,Akdeniz,Kahramanmaraş,Elbistan Ovası,Ceyhan,Şekerpancarı ve tahıl,Karasal iklim,Sulu tarım
19,Akdeniz,Mersin,Silifke Ovası,Göksu,Muz ve çilek,Akdeniz iklimi,Sulu tarım
20,Akdeniz,Mersin,Tarsus Ovası,Berdan (Tarsus Çayı),Narenciye ve sebze,Akdeniz iklimi,Sulu tarım
21,Güneydoğu Anadolu,Diyarbakır,Diyarbakır Ovası,Dicle,Buğday ve mercimek,Karasal-kurak,Kuru ve sulu tarım
22,Doğu Anadolu,Erzincan,Erzincan Ovası,Fırat (Karasu),Şekerpancarı ve meyve,Karasal iklim,Sulu tarım
23,Doğu Anadolu,Malatya,Malatya Ovası,Tohma ve Fırat,Kayısı ve meyve,Karasal iklim,Sulu tarım
24,Marmara,Sakarya,Adapazarı Ovası,Sakarya,Mısır ve sebze,Marmara geçiş,Sulu tarım
25,Marmara,Balıkesir,Balıkesir Ovası,Susurluk (Simav),Tahıl ve sebze,Marmara geçiş,Sulu ve kuru tarım
26,Ege,İzmir,Menemen Ovası,Gediz,Sebze ve pamuk,Akdeniz iklimi,Sulu tarım
27,Doğu Anadolu,Erzurum,Pasinler Ovası,Aras,Şekerpancarı ve yem bitkileri,Karasal-sert,Sulu tarım
28,Doğu Anadolu,Elazığ,Uluova,Fırat kolları,Şekerpancarı ve tahıl,Karasal iklim,Sulu tarım
29,İç Anadolu,Kayseri,Develi Ovası,Zamantı ve kaynaklar,Şekerpancarı ve tahıl,Karasal iklim,Sulu tarım
30,İç Anadolu,Eskişehir,Eskişehir Ovası,Porsuk,Şekerpancarı ve buğday,Karasal iklim,Sulu ve kuru tarım
