No,Akım,Yaşadığı Yıllar,Ressam,Ülke,Ünlü Eseri
1,Oryantalizm,1842-1910,Osman Hamdi Bey,Osmanlı-Türkiye,Kaplumbağa Terbiyecisi
2,İzlenimcilik,1882-1960,İbrahim Çallı,Türkiye,Manolyalar
3,Dışavurumculuk,1903-1967,Fikret Mualla,Türkiye-Fransa,Paris sokak sahneleri
4,Modern,1913-1993,Abidin Dino,Türkiye,El serisi
5,Modern,1911-1975,Bedri Rahmi Eyüboğlu,Türkiye,Han Kahvesi
6,Rönesans,1452-1519,Leonardo da Vinci,İtalya,Mona Lisa
7,Rönesans,1475-1564,Michelangelo,İtalya,Sistina Şapeli tavanı
8,Rönesans,1483-1520,Raffaello,İtalya,Atina Okulu
9,Barok,1571-1610,Caravaggio,İtalya,Emmaus'ta Akşam Yemeği
10,Barok,1606-1669,Rembrandt,Hollanda,Gece Devriyesi
11,Barok,1632-1675,Johannes Vermeer,Hollanda,İnci Küpeli Kız
12,Romantizm,1746-1828,Francisco Goya,İspanya,3 Mayıs 1808
13,İzlenimcilik,1840-1926,Claude Monet,Fransa,Nilüferler
14,İzlenimcilik,1832-1883,Edouard Manet,Fransa,Kırda Öğle Yemeği
15,İzlenimcilik,1841-1919,Auguste Renoir,Fransa,Moulin de la Galette'te Dans
16,Art Sonrası İzlenimcilik,1853-1890,Vincent van Gogh,Hollanda,Yıldızlı Gece
17,Art Sonrası İzlenimcilik,1848-1903,Paul Gauguin,Fransa,Tahiti resimleri
18,Art Sonrası İzlenimcilik,1839-1906,Paul Cezanne,Fransa,Sainte-Victoire Dağı
19,Kübizm,1881-1973,Pablo Picasso,İspanya,Guernica
20,Sürrealizm,1904-1989,Salvador Dali,İspanya,Belleğin Azmi
21,Fovizm,1869-1954,Henri Matisse,Fransa,Dans
22,Soyut,1866-1944,Vasili Kandinski,Rusya,Kompozisyon serisi
23,Dışavurumculuk,1863-1944,Edvard Munch,Norveç,Çığlık
24,Art Nouveau,1862-1918,Gustav Klimt,Avusturya,Öpücük
25,Sürrealizm,1907-1954,Frida Kahlo,Meksika,Otoportreler
