No,Sembol,Grup,Element,Atom Ağırlığı,Oda Sıcaklığındaki Hali,Keşif Yılı,Periyot,Kullanım Alanı,Ad Kökeni
1,H,1A,Hidrojen,1.008,Gaz,1766,1,Yakıt ve amonyak üretimi,Yunanca su oluşturan
2,He,8A,Helyum,4.003,Gaz,1868,1,Balon ve soğutma,Yunanca güneş Helios
3,Li,1A,Lityum,6.94,Katı,1817,2,Pil ve seramik,Yunanca taş lithos
4,Be,2A,Berilyum,9.012,Katı,1798,2,Uzay ve elektronik alaşımları,Beril minerali
5,B,3A,Bor,10.81,Katı,1808,2,Cam ve deterjan,Boraks kelimesi
6,C,4A,Karbon,12.011,Katı,Antik çağ,2,Çelik ve organik yaşam,Latince kömür carbo
7,N,5A,Azot,14.007,Gaz,1772,2,Gübre ve soğutma,Fransızca azote cansız
8,O,6A,Oksijen,15.999,Gaz,1774,2,Solunum ve yanma,Yunanca asit oluşturan
9,F,7A,Flor,18.998,Gaz,1886,2,Diş macunu ve teflon,Latince akmak fluere
10,Ne,8A,Neon,20.180,Gaz,1898,2,Aydınlatma tabelaları,Yunanca yeni neos
11,Na,1A,Sodyum,22.990,Katı,1807,3,Tuz ve sokak lambası,Latince natrium
12,Mg,2A,Magnezyum,24.305,Katı,1808,3,Hafif alaşım ve havai fişek,Magnesia bölgesi
13,Al,3A,Alüminyum,26.982,Katı,1825,3,Ambalaj ve uçak gövdesi,Latince şap alumen
14,Si,4A,Silisyum,28.085,Katı,1824,3,Bilgisayar çipi ve cam,Latince çakmaktaşı silex
15,P,5A,Fosfor,30.974,Katı,1669,3,Gübre ve kibrit,Yunanca ışık taşıyan
16,S,6A,Kükürt,32.06,Katı,Antik çağ,3,Barut ve sülfürik asit,Latince sulphur
17,Cl,7A,Klor,35.45,Gaz,1774,3,Dezenfeksiyon ve PVC,Yunanca yeşilimsi chloros
18,Ar,8A,Argon,39.948,Gaz,1894,3,Kaynak ve ampul dolgusu,Yunanca tembel aergon
19,K,1A,Potasyum,39.098,Katı,1807,4,Gübre ve gıda,Latince kalium
20,Ca,2A,Kalsiyum,40.078,Katı,1808,4,Çimento ve kemik yapısı,Latince kireç calx
21,Sc,3B,Skandiyum,44.956,Katı,1879,4,Havacılık alaşımları,Skandinavya
22,Ti,4B,Titanyum,47.867,Katı,1791,4,Uçak ve protez,Mitolojik Titanlar
23,V,5B,Vanadyum,50.942,Katı,1801,4,Çelik sertleştirme,İskandinav tanrıça Vanadis
24,Cr,6B,Krom,51.996,Katı,1797,4,Paslanmaz çelik ve kaplama,Yunanca renk chroma
25,Mn,7B,Mangan,54.938,Katı,1774,4,Çelik ve pil,Magnesia bölgesi
26,Fe,8B,Demir,55.845,Katı,Antik çağ,4,Çelik ve inşaat,Latince ferrum
