No,Kalori (100g),Protein (g),Yiyecek,Lif (g),Kategori,Karbonhidrat (g),Yağ (g)
1,52,0.3,Elma,2.4,Meyve,14,0.2
2,89,1.1,Muz,2.6,Meyve,23,0.3
3,47,0.9,Portakal,2.4,Meyve,12,0.1
4,32,0.7,Çilek,2.0,Meyve,8,0.3
5,69,0.7,Üzüm,0.9,Meyve,18,0.2
6,30,0.6,Karpuz,0.4,Meyve,8,0.2
7,18,0.9,Domates,1.2,Sebze,3.9,0.2
8,15,0.7,Salatalık,0.5,Sebze,3.6,0.1
9,41,0.9,Havuç,2.8,Sebze,10,0.2
10,77,2.0,Patates,2.2,Sebze,17,0.1
11,23,2.9,Ispanak,2.2,Sebze,3.6,0.4
12,34,2.8,Brokoli,2.6,Sebze,7,0.4
13,116,9.0,Mercimek (haşlanmış),7.9,Baklagil,20,0.4
14,164,8.9,Nohut (haşlanmış),7.6,Baklagil,27,2.6
15,127,8.7,Kuru Fasulye (haşlanmış),6.4,Baklagil,23,0.5
16,130,2.7,Pirinç (haşlanmış),0.4,Tahıl,28,0.3
17,83,3.1,Bulgur (haşlanmış),4.5,Tahıl,19,0.2
18,265,9.0,Beyaz Ekmek,2.7,Tahıl,49,3.2
19,389,16.9,Yulaf,10.6,Tahıl,66,6.9
20,131,5.0,Makarna (haşlanmış),1.8,Tahıl,25,1.1
21,165,31.0,Tavuk Göğsü (ızgara),0,Et,0,3.6
22,250,26.0,Dana Eti,0,Et,0,15
23,208,20.0,Somon,0,Balık,0,13
24,155,13.0,Yumurta (haşlanmış),0,Hayvansal Ürün,1.1,11
25,61,3.2,Süt (tam yağlı),0,Süt Ürünü,4.8,3.3
26,61,3.5,Yoğurt,0,Süt Ürünü,4.7,3.3
27,264,14.0,Beyaz Peynir,0,Süt Ürünü,4,21
28,654,15.0,Ceviz,6.7,Kuruyemiş,14,65
29,579,21.0,Badem,12.5,Kuruyemiş,22,50
30,628,15.0,Fındık,9.7,Kuruyemiş,17,61
31,304,0.3,Bal,0.2,Tatlandırıcı,82,0
32,160,2.0,Avokado,6.7,Meyve,9,15
33,115,0.8,Zeytin,3.2,Meyve,6,11
34,247,13.0,Tam Buğday Ekmeği,7.0,Tahıl,41,3.4
35,546,4.9,Bitter Çikolata,11,Tatlı,61,31
36,884,0,Zeytinyağı,0,Yağ,0,100
37,717,0.9,Tereyağı,0,Süt Ürünü,0.1,81
38,282,2.5,Hurma,8,Meyve,75,0.4
39,249,3.3,Kuru İncir,9.8,Meyve,64,0.9
40,48,1.4,Kayısı,2,Meyve,11,0.4
41,39,0.9,Şeftali,1.5,Meyve,10,0.3
42,57,0.4,Armut,3.1,Meyve,15,0.1
43,63,1.1,Kiraz,2.1,Meyve,16,0.2
44,83,1.7,Nar,4,Meyve,19,1.2
45,61,1.1,Kivi,3,Meyve,15,0.5
46,50,0.5,Ananas,1.4,Meyve,13,0.1
47,29,1.1,Limon,2.8,Meyve,9,0.3
48,299,3.1,Kuru Üzüm,3.7,Meyve,79,0.5
49,567,26,Yer Fıstığı,8.5,Kuruyemiş,16,49
50,560,20,Antep Fıstığı,10,Kuruyemiş,28,45
51,96,3.4,Haşlanmış Mısır,2.4,Tahıl,21,1.5
52,40,1.1,Soğan,1.7,Sebze,9,0.1
53,149,6.4,Sarımsak,2.1,Sebze,33,0.5
54,31,1,Kırmızı Biber,2.1,Sebze,6,0.3
55,25,1,Patlıcan,3,Sebze,6,0.2
56,17,1.2,Kabak,1,Sebze,3.1,0.3
57,25,1.9,Karnabahar,2,Sebze,5,0.3
58,81,5.4,Bezelye,5.7,Baklagil,14,0.4
59,22,3.1,Mantar,1,Sebze,3.3,0.3
60,350,25,Kaşar Peyniri,0,Süt Ürünü,2,27
