No,Ülke,Kuruluş Yılı,Kulüp,Şehir,Şampiyonlar Ligi Kupası,Lig,Stadyum,Lakap,Görsel
1,İspanya,1902,Real Madrid,Madrid,15,La Liga,Santiago Bernabeu,Los Blancos,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Real_Madrid_CF.svg/330px-Real_Madrid_CF.svg.png
2,İspanya,1899,Barcelona,Barselona,5,La Liga,Camp Nou,Blaugrana,https://upload.wikimedia.org/wikipedia/en/thumb/4/47/FC_Barcelona_%28crest%29.svg/330px-FC_Barcelona_%28crest%29.svg.png
3,İspanya,1903,Atletico Madrid,Madrid,0,La Liga,Metropolitano,Colchoneros,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Atletico_Madrid_Logo_2024.svg/330px-Atletico_Madrid_Logo_2024.svg.png
4,İspanya,1890,Sevilla,Sevilla,0,La Liga,Ramon Sanchez-Pizjuan,Los Nervionenses,https://upload.wikimedia.org/wikipedia/en/thumb/3/3b/Sevilla_FC_logo.svg/330px-Sevilla_FC_logo.svg.png
5,Almanya,1900,Bayern Münih,Münih,6,Bundesliga,Allianz Arena,Die Bayern,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/FC_Bayern_M%C3%BCnchen_logo_%282024%29.svg/330px-FC_Bayern_M%C3%BCnchen_logo_%282024%29.svg.png
6,Almanya,1909,Borussia Dortmund,Dortmund,1,Bundesliga,Signal Iduna Park,Die Borussen,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Borussia_Dortmund_logo.svg/330px-Borussia_Dortmund_logo.svg.png
7,İngiltere,1878,Manchester United,Manchester,3,Premier Lig,Old Trafford,Kırmızı Şeytanlar,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Manchester_United_FC_crest.svg/330px-Manchester_United_FC_crest.svg.png
8,İngiltere,1892,Liverpool,Liverpool,6,Premier Lig,Anfield,The Reds,https://upload.wikimedia.org/wikipedia/en/thumb/0/0c/Liverpool_FC.svg/330px-Liverpool_FC.svg.png
9,İngiltere,1880,Manchester City,Manchester,1,Premier Lig,Etihad,The Citizens,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Manchester_City_FC_badge.svg/330px-Manchester_City_FC_badge.svg.png
10,İngiltere,1905,Chelsea,Londra,2,Premier Lig,Stamford Bridge,The Blues,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Chelsea_FC.svg/330px-Chelsea_FC.svg.png
11,İngiltere,1886,Arsenal,Londra,0,Premier Lig,Emirates,The Gunners,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/330px-Arsenal_FC.svg.png
12,İngiltere,1882,Tottenham Hotspur,Londra,0,Premier Lig,Tottenham Hotspur Stadyumu,Spurs,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Tottenham_Hotspur.svg/330px-Tottenham_Hotspur.svg.png
13,İtalya,1899,Milan,Milano,7,Serie A,San Siro,Rossoneri,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Logo_of_AC_Milan.svg/330px-Logo_of_AC_Milan.svg.png
14,İtalya,1908,Inter,Milano,3,Serie A,San Siro,Nerazzurri,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/FC_Internazionale_Milano_2021.svg/330px-FC_Internazionale_Milano_2021.svg.png
15,İtalya,1897,Juventus,Torino,2,Serie A,Allianz Stadium,Bianconeri,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Juventus_FC_-_logo_black_%28Italy%2C_2020%29.svg/330px-Juventus_FC_-_logo_black_%28Italy%2C_2020%29.svg.png
