No,Sınıf,Su Tipi,Balık,Familya,Ortalama Boy (cm),Ağırlık (kg),Beslenme,Yaşam Bölgesi,Bilimsel Adı,Ortalama Ömür (yıl),Ticari Değeri
1,Kemikli balık,Tuzlu su,Hamsi,Hamsigiller,15,0.02,Plankton,Karadeniz,Engraulis encrasicolus,3,Yüksek
2,Kemikli balık,Tuzlu su,Palamut,Uskumrugiller,45,2.5,Küçük balık,Karadeniz ve Marmara,Sarda sarda,5,Yüksek
3,Kemikli balık,Her ikisi,Levrek,Levrekgiller,50,3,Balık ve kabuklu,Ege ve Akdeniz,Dicentrarchus labrax,15,Yüksek
4,Kemikli balık,Tuzlu su,Çipura,Mercangiller,40,1.5,Kabuklu ve yumuşakça,Ege ve Akdeniz,Sparus aurata,11,Yüksek
5,Kemikli balık,Her ikisi,Somon,Alabalıkgiller,80,5,Balık ve kabuklu,Kuzey Atlantik,Salmo salar,8,Yüksek
6,Kemikli balık,Tatlı su,Alabalık,Alabalıkgiller,35,1,Böcek ve küçük balık,Akarsu ve göller,Oncorhynchus mykiss,7,Yüksek
7,Kemikli balık,Tatlı su,Sazan,Sazangiller,50,3,Hepçil,Göl ve nehirler,Cyprinus carpio,20,Orta
8,Kemikli balık,Tuzlu su,Ton Balığı,Uskumrugiller,200,250,Balık ve kalamar,Açık okyanus,Thunnus thynnus,15,Çok yüksek
9,Kıkırdaklı balık,Tuzlu su,Köpekbalığı,Köpekbalığıgiller,400,500,Etçil,Okyanuslar,Selachimorpha,30,Düşük
10,Kemikli balık,Tuzlu su,Kılıçbalığı,Kılıçbalığıgiller,300,150,Balık ve kalamar,Açık denizler,Xiphias gladius,9,Yüksek
11,Kemikli balık,Tuzlu su,Lüfer,Lüfergiller,40,1.5,Küçük balık,Boğazlar ve Marmara,Pomatomus saltatrix,9,Yüksek
12,Kemikli balık,Tuzlu su,Uskumru,Uskumrugiller,30,0.5,Plankton ve küçük balık,Kuzey Atlantik,Scomber scombrus,17,Yüksek
13,Kemikli balık,Tuzlu su,İstavrit,İstavritgiller,25,0.2,Plankton ve küçük balık,Karadeniz ve Ege,Trachurus trachurus,15,Orta
14,Kemikli balık,Tuzlu su,Barbunya,Tekirgiller,20,0.15,Dip canlıları,Ege ve Akdeniz,Mullus barbatus,11,Yüksek
15,Kemikli balık,Tuzlu su,Mezgit,Morinagiller,25,0.2,Küçük balık ve karides,Karadeniz,Merlangius merlangus,10,Orta
16,Kemikli balık,Tuzlu su,Kalkan,Kalkangiller,50,5,Dipteki balıklar,Karadeniz,Scophthalmus maximus,25,Çok yüksek
17,Kemikli balık,Tuzlu su,Sardalya,Ringagiller,20,0.1,Plankton,Akdeniz ve Atlantik,Sardina pilchardus,15,Orta
18,Kemikli balık,Tatlı su,Turna Balığı,Turnabalığıgiller,80,6,Balık ve kurbağa,Göl ve nehirler,Esox lucius,25,Orta
19,Kemikli balık,Tatlı su,Yayın Balığı,Yayıngiller,150,40,Balık ve kabuklu,Nehir ve barajlar,Silurus glanis,60,Orta
20,Kemikli balık,Her ikisi,Yılan Balığı,Yılanbalığıgiller,70,2,Balık ve kabuklu,Nehir ve denizler,Anguilla anguilla,85,Yüksek
21,Kemikli balık,Her ikisi,Mersin Balığı,Mersinbalığıgiller,200,60,Dip canlıları,Hazar ve Karadeniz,Acipenser sturio,100,Çok yüksek
22,Kıkırdaklı balık,Tuzlu su,Vatoz,Vatozgiller,60,5,Yumuşakça ve kabuklu,Deniz tabanı,Rajidae,15,Düşük
23,Kıkırdaklı balık,Tuzlu su,Manta Vatozu,Vatozgiller,500,1400,Plankton,Tropik okyanuslar,Mobula birostris,40,Düşük
24,Kemikli balık,Tuzlu su,Fener Balığı,Fenerbalığıgiller,60,20,Balık,Derin deniz,Lophius piscatorius,20,Orta
25,Kemikli balık,Tatlı su,Japon Balığı,Sazangiller,15,0.2,Hepçil,Akvaryum ve göletler,Carassius auratus,15,Süs
26,Kemikli balık,Tatlı su,Piraya,Pirayagiller,25,1,Etçil,Amazon Nehri,Pygocentrus nattereri,10,Düşük
27,Kemikli balık,Tuzlu su,Morina,Morinagiller,100,25,Balık ve kabuklu,Kuzey Atlantik,Gadus morhua,20,Yüksek
28,Kemikli balık,Tuzlu su,Dil Balığı,Dilbalığıgiller,35,0.5,Dip canlıları,Akdeniz ve Atlantik,Solea solea,25,Yüksek
29,Kemikli balık,Her ikisi,Kefal,Kefalgiller,40,1.5,Yosun ve organik artık,Kıyı ve haliçler,Mugil cephalus,15,Orta
30,Kemikli balık,Tuzlu su,Sinarit,Mercangiller,60,5,Balık ve kalamar,Ege ve Akdeniz,Dentex dentex,30,Yüksek
