No,Kuruluş Yılı,Süre (yıl),İmparatorluk,Yıkılış Yılı,Başkent,En Geniş Sınır (milyon km²),Kurucu,Bölge
1,1299,623,Osmanlı İmparatorluğu,1922,İstanbul,5.2,Osman Gazi,Avrupa - Asya - Afrika
2,1037,157,Büyük Selçuklu Devleti,1194,İsfahan,3.9,Tuğrul Bey,Orta Doğu - Orta Asya
3,1077,231,Anadolu Selçuklu Devleti,1308,Konya,0.8,Süleyman Şah,Anadolu
4,MÖ 27,503,Roma İmparatorluğu,476,Roma,5.0,Augustus,Avrupa - Akdeniz
5,395,1058,Bizans İmparatorluğu,1453,Konstantinopolis,2.7,I. Theodosius,Anadolu - Balkanlar
6,MÖ 550,220,Pers İmparatorluğu (Ahameniş),MÖ 330,Persepolis,5.5,Büyük Kiros,Orta Doğu - İran
7,MÖ 336,13,Makedon İmparatorluğu,MÖ 323,Babil,5.2,Büyük İskender,Balkanlar - Asya
8,1206,162,Moğol İmparatorluğu,1368,Karakurum,24.0,Cengiz Han,Asya - Avrupa
9,1370,137,Timur İmparatorluğu,1507,Semerkant,4.4,Timur,Orta Asya - İran
10,661,89,Emevi Devleti,750,Şam,11.1,Muaviye,Orta Doğu - Kuzey Afrika
11,750,508,Abbasi Devleti,1258,Bağdat,11.1,Ebul Abbas,Orta Doğu
12,552,192,Göktürk Kağanlığı,744,Ötüken,6.0,Bumin Kağan,Orta Asya
13,MÖ 220,436,Asya Hun İmparatorluğu,216,Ötüken,9.0,Teoman,Orta Asya
14,1583,414,Britanya İmparatorluğu,1997,Londra,35.5,I. Elizabeth,Küresel
15,1492,484,İspanya İmparatorluğu,1976,Madrid,20.0,Katolik Krallar,Küresel
16,1721,196,Rus İmparatorluğu,1917,Sankt Petersburg,22.8,I. Petro,Avrasya
17,1867,51,Avusturya-Macaristan İmparatorluğu,1918,Viyana,0.7,I. Franz Joseph,Orta Avrupa
18,MÖ 206,426,Han Hanedanı,220,Chang-an,6.5,Liu Bang,Doğu Asya
19,MÖ 322,137,Maurya İmparatorluğu,MÖ 185,Pataliputra,5.0,Çandragupta Maurya,Hindistan
20,1428,93,Aztek İmparatorluğu,1521,Tenochtitlan,0.2,I. Itzcoatl,Orta Amerika
21,1438,95,İnka İmparatorluğu,1533,Cusco,2.0,Pachacuti,Güney Amerika
22,MÖ 1550,473,Mısır İmparatorluğu (Yeni Krallık),MÖ 1077,Teb,1.0,I. Ahmose,Kuzey Afrika
23,1415,584,Portekiz İmparatorluğu,1999,Lizbon,5.5,I. Joao,Küresel
24,1534,446,Fransız Sömürge İmparatorluğu,1980,Paris,13.5,I. Francois,Küresel
25,962,844,Kutsal Roma Cermen İmparatorluğu,1806,Viyana,1.0,I. Otto,Orta Avrupa
26,224,427,Sasani İmparatorluğu,651,Ktesifon,3.5,I. Ardeşir,İran - Mezopotamya
27,1250,267,Memlük Devleti,1517,Kahire,2.1,Aybek,Mısır - Suriye
28,1526,331,Babür İmparatorluğu,1857,Delhi,4.0,Babür Şah,Hindistan
29,840,372,Karahanlı Devleti,1212,Balasagun,3.0,Bilge Kül Kadir Han,Orta Asya
30,963,223,Gazneli Devleti,1186,Gazne,3.4,Alptegin,Afganistan - Hindistan
