No,Yıl,Taraflar,Savaş,Kazanan,Yer,Süre,Sonuç/Önemi,Savaş Türü,Komutanlar
1,MÖ 1274,Mısır - Hitit,Kadeş Savaşı,Berabere,Kadeş - Suriye,1 gün,Tarihin ilk yazılı antlaşması imzalandı,Meydan savaşı,II. Ramses ve Muvattali
2,MÖ 490,Atina - Pers,Maraton Savaşı,Atina,Maraton - Yunanistan,1 gün,Pers ilerleyişi Avrupa'da durduruldu,Meydan savaşı,Miltiades ve Datis
3,MÖ 331,Makedonya - Pers,Gaugamela Savaşı,Makedonya,Gaugamela - Irak,1 gün,Pers İmparatorluğu yıkıldı,Meydan savaşı,Büyük İskender ve III. Darius
4,MÖ 216,Kartaca - Roma,Kannae Savaşı,Kartaca,Kannae - İtalya,1 gün,Sarma taktiğinin klasik örneği oldu,Meydan savaşı,Hannibal ve Varro
5,1040,Selçuklu - Gazneli,Dandanakan Savaşı,Büyük Selçuklu,Dandanakan - Türkmenistan,1 gün,Büyük Selçuklu Devleti kuruldu,Meydan savaşı,Tuğrul Bey ve Sultan Mesud
6,1071,Selçuklu - Bizans,Malazgirt Savaşı,Büyük Selçuklu,Malazgirt - Muş,1 gün,Anadolu'nun kapıları Türklere açıldı,Meydan savaşı,Alparslan ve Romen Diyojen
7,1176,Selçuklu - Bizans,Miryokefalon Savaşı,Anadolu Selçuklu,Denizli yöresi,1 gün,Anadolu'nun Türk yurdu olduğu kesinleşti,Pusu-meydan savaşı,II. Kılıç Arslan ve Manuel Komnenos
8,1187,Eyyubiler - Haçlılar,Hittin Savaşı,Eyyubiler,Hittin - Filistin,1 gün,Kudüs Haçlılardan geri alındı,Meydan savaşı,Selahaddin Eyyubi ve Lusignanlı Guy
9,1389,Osmanlı - Balkan Haçlı Ordusu,I. Kosova Savaşı,Osmanlı,Kosova,1 gün,Balkanlarda Osmanlı hakimiyeti güçlendi,Meydan savaşı,I. Murad ve Prens Lazar
10,1396,Osmanlı - Haçlı Ordusu,Niğbolu Savaşı,Osmanlı,Niğbolu - Bulgaristan,1 gün,Osmanlı Balkan hakimiyeti pekişti,Meydan savaşı,Yıldırım Bayezid ve Sigismund
11,1402,Osmanlı - Timur,Ankara Savaşı,Timur,Çubuk Ovası - Ankara,1 gün,Fetret Devri başladı,Meydan savaşı,Timur ve Yıldırım Bayezid
12,1444,Osmanlı - Haçlı Ordusu,Varna Savaşı,Osmanlı,Varna - Bulgaristan,1 gün,Haçlı tehdidi kırıldı,Meydan savaşı,II. Murad ve Ladislas
13,1453,Osmanlı - Bizans,İstanbul'un Fethi,Osmanlı,İstanbul,53 gün,Orta Çağ kapandı Yeni Çağ açıldı,Kuşatma,Fatih Sultan Mehmed ve XI. Konstantin
