No,Yaşadığı Yıllar,Ülke,Devlet Adamı,Görevi,Dönem,Başlıca İcraatı,Bağlı Olduğu Yönetim/Partisi,En Bilinen İlkesi/Sözü,Görsel
1,1881-1938,Türkiye,Mustafa Kemal Atatürk,Cumhurbaşkanı,1923-1938,Cumhuriyeti kurdu ve inkılapları gerçekleştirdi,Cumhuriyet Halk Partisi,Yurtta sulh cihanda sulh,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Ataturk1930s.jpg/330px-Ataturk1930s.jpg
2,1884-1973,Türkiye,İsmet İnönü,Cumhurbaşkanı,1938-1950,Lozan Antlaşması ve çok partili hayata geçiş,Cumhuriyet Halk Partisi,Milli Şef politikası,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Inonu_Ismet_%28cropped%29.jpg/330px-Inonu_Ismet_%28cropped%29.jpg
3,1883-1986,Türkiye,Celal Bayar,Cumhurbaşkanı,1950-1960,İş Bankası'nı kurdu ve ekonomiyi liberalleştirdi,Demokrat Parti,Serbest piyasa ekonomisi,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Mahmut_Cel%C3%A2l_Bayar.jpg/330px-Mahmut_Cel%C3%A2l_Bayar.jpg
4,1899-1961,Türkiye,Adnan Menderes,Başbakan,1950-1960,Tarım makineleşmesi ve altyapı yatırımları,Demokrat Parti,Yeter söz milletindir,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Adnan_Menderes_VI._Yasama_D%C3%B6nemi_%28cropped%29.jpg/330px-Adnan_Menderes_VI._Yasama_D%C3%B6nemi_%28cropped%29.jpg
5,1927-1993,Türkiye,Turgut Özal,Cumhurbaşkanı,1989-1993,Dışa açık ekonomi ve serbest piyasa reformları,Anavatan Partisi,Dışa açık liberal ekonomi,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Turgut_%C3%96zal_as_Turkish_Prime_Minister.jpg/330px-Turgut_%C3%96zal_as_Turkish_Prime_Minister.jpg
6,1494-1566,Osmanlı,Kanuni Sultan Süleyman,Padişah,1520-1566,Kanunları düzenledi ve devleti zirveye taşıdı,Osmanlı Hanedanı,Adaletle hükmetmek,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/EmperorSuleiman.jpg/330px-EmperorSuleiman.jpg
7,1842-1918,Osmanlı,II. Abdülhamid,Padişah,1876-1909,Eğitim kurumları ve demiryolu yatırımları,Osmanlı Hanedanı,İslam birliği (İttihad-ı İslam),https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Sultan_Gazi_Abd%C3%BCl_Hamid_II_-_%D8%A7%D9%84%D8%B3%D9%84%D8%B7%D8%A7%D9%86_%D8%A7%D9%84%D8%BA%D8%A7%D8%B2%D9%8A_%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D8%AD%D9%85%D9%8A%D8%AF_%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A.png/330px-Sultan_Gazi_Abd%C3%BCl_Hamid_II_-_%D8%A7%D9%84%D8%B3%D9%84%D8%B7%D8%A7%D9%86_%D8%A7%D9%84%D8%BA%D8%A7%D8%B2%D9%8A_%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D8%AD%D9%85%D9%8A%D8%AF_%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A.png
8,1505-1579,Osmanlı,Sokullu Mehmed Paşa,Sadrazam,1565-1579,Üç padişaha sadrazamlık yapıp devleti ayakta tuttu,Osmanlı Devleti,Devletin bekasını önceleme,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Mehmed_Sokolovi%C4%87_%28ca_1505-1579%29.png/330px-Mehmed_Sokolovi%C4%87_%28ca_1505-1579%29.png
9,1575-1661,Osmanlı,Köprülü Mehmed Paşa,Sadrazam,1656-1661,Bozulan devlet düzenini yeniden kurdu,Osmanlı Devleti,Sert disiplinle nizam kurma,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Mehmedpasha.jpg/330px-Mehmedpasha.jpg
10,1635-1676,Osmanlı,Köprülü Fazıl Ahmed Paşa,Sadrazam,1661-1676,Maliyeyi düzeltti ve Girit'i fethetti,Osmanlı Devleti,Maliye ve fetih dengesi,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/K%C3%B6pr%C3%BCl%C3%BC_Ahmed_k%C5%91rajz.jpg/330px-K%C3%B6pr%C3%BCl%C3%BC_Ahmed_k%C5%91rajz.jpg
11,1662-1730,Osmanlı,Nevşehirli Damat İbrahim Paşa,Sadrazam,1718-1730,Lale Devri imar ve matbaa faaliyetleri,Osmanlı Devleti,Barış ve imar (Lale Devri),https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/De_grootvizier_Nev%C5%9Fehirli_Damat_%C4%ACbrahim_Pasa_Rijksmuseum_SK-A-2017.jpeg/330px-De_grootvizier_Nev%C5%9Fehirli_Damat_%C4%ACbrahim_Pasa_Rijksmuseum_SK-A-2017.jpeg
