No,Yıl,Yönetmen,Film,Ülke,Tür,Süre (dk),Önemi,IMDb,Başrol,Görsel
1,1925,Sergey Ayzenştayn,Potemkin Zırhlısı,SSCB,Tarihi Dram,75,Kurgu ve montaj kuramının temel yapıtı,7.9,Aleksandr Antonov,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Vintage_Potemkin.jpg/330px-Vintage_Potemkin.jpg
2,1927,Fritz Lang,Metropolis,Almanya,Bilim Kurgu,153,Distopik şehir tasvirinin ilk büyük örneği,8.3,Brigitte Helm,https://upload.wikimedia.org/wikipedia/tr/0/06/Metropolisposter.jpg
3,1937,David Hand,Pamuk Prenses ve Yedi Cüceler,ABD,Animasyon,83,İlk uzun metrajlı çizgi film,7.6,Adriana Caselotti,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Snow_White_and_the_Seven_Dwarfs_%28Style_B%29_poster.jpg/330px-Snow_White_and_the_Seven_Dwarfs_%28Style_B%29_poster.jpg
4,1939,Victor Fleming,Rüzgar Gibi Geçti,ABD,Tarihi Dram,238,Renkli sinemanın gişe rekortmeni klasiği,8.2,Clark Gable ve Vivien Leigh,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Poster_-_Gone_With_the_Wind_01.jpg/330px-Poster_-_Gone_With_the_Wind_01.jpg
5,1941,Orson Welles,Yurttaş Kane,ABD,Dram,119,Derin odak ve anlatı yapısıyla sinema dilini değiştirdi,8.3,Orson Welles,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Citizen_Kane_poster%2C_1941_%28Style_B%2C_unrestored%29.jpg/330px-Citizen_Kane_poster%2C_1941_%28Style_B%2C_unrestored%29.jpg
6,1942,Michael Curtiz,Casablanca,ABD,Romantik Dram,102,Hollywood stüdyo döneminin simge filmi,8.5,Humphrey Bogart ve Ingrid Bergman,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/CasablancaPoster-Gold.jpg/330px-CasablancaPoster-Gold.jpg
7,1948,Vittorio De Sica,Bisiklet Hırsızları,İtalya,Dram,89,İtalyan Yeni Gerçekçiliğinin başyapıtı,8.3,Lamberto Maggiorani,https://upload.wikimedia.org/wikipedia/en/2/20/Ladri3.jpg
8,1950,Akira Kurosawa,Rashomon,Japonya,Dram,88,Öznel anlatım ve Rashomon etkisi kavramı,8.2,Toshiro Mifune,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Rashomon_poster.jpg/330px-Rashomon_poster.jpg
9,1953,Yasujiro Ozu,Tokyo Hikayesi,Japonya,Dram,136,Sade anlatımın ve aile temasının doruğu,8.1,Chishu Ryu,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Tokyo_monogatari_poster.jpg/330px-Tokyo_monogatari_poster.jpg
10,1954,Akira Kurosawa,Yedi Samuray,Japonya,Aksiyon-Dram,207,Modern ekip filmi kalıbının kaynağı,8.6,Toshiro Mifune ve Takashi Shimura,https://upload.wikimedia.org/wikipedia/en/c/c8/Seven_Samurai_Poster.png
11,1957,Ingmar Bergman,Yedinci Mühür,İsveç,Dram,96,Avrupa sanat sinemasının simge yapıtı,8.1,Max von Sydow,https://upload.wikimedia.org/wikipedia/en/6/69/Seventhsealposter.jpg
12,1960,Jean-Luc Godard,Serseri Aşıklar,Fransa,Suç-Dram,90,Fransız Yeni Dalgasını başlatan film,7.7,Jean-Paul Belmondo ve Jean Seberg,https://upload.wikimedia.org/wikipedia/en/3/3f/%C3%80_bout_de_souffle_%28movie_poster%29.jpg
13,1963,Metin Erksan,Susuz Yaz,Türkiye,Dram,90,Altın Ayı kazanan ilk Türk filmi,7.3,Erol Taş ve Hülya Koçyiğit,https://upload.wikimedia.org/wikipedia/tr/thumb/6/65/Susuz_Yaz_afi%C5%9F.jpg/330px-Susuz_Yaz_afi%C5%9F.jpg
