No,Fotoğrafçı,Yıl,Fotoğraf,Konu/Olay,Önemi,Çekim Yeri,Renk,Görsel
1,Joseph Nicephore Niepce,1826,Le Gras'taki Pencereden Görünüm,İlk kalıcı fotoğraf denemesi,Bilinen en eski fotoğraf,Saint-Loup-de-Varennes,Siyah-Beyaz,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Untitled_%28point_de_vue%29%2C_Ni%C3%A9pce_1827_%E2%80%94_HRC_2020_%28cropped%29.jpg/330px-Untitled_%28point_de_vue%29%2C_Ni%C3%A9pce_1827_%E2%80%94_HRC_2020_%28cropped%29.jpg
2,Louis Daguerre,1838,Temple Bulvarı,Paris sokak görüntüsü,İnsan figürünün göründüğü ilk fotoğraf,Paris,Siyah-Beyaz,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Paris_boulevard_du_temple.jpg/330px-Paris_boulevard_du_temple.jpg
3,Eadweard Muybridge,1878,Dörtnala Koşan At,Hareket dizisi çalışması,Hareketin çözümlenmesi ve sinemanın öncüsü,Palo Alto,Siyah-Beyaz,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/The_Horse_in_motion._%22Abe_Edgington%2C%22_owned_by_Leland_Stanford%3B_driven_by_C._Marvin%2C_trotting_at_a_2-24_gait_over_the_Palo_Alto_track%2C_15th_June_1878_LOC_13624627695.jpg/330px-thumbnail.jpg
4,John T. Daniels,1903,Wright Kardeşlerin İlk Uçuşu,İlk motorlu uçuş,Havacılık tarihinin başlangıç belgesi,Kitty Hawk,Siyah-Beyaz,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/First_flight2.jpg/330px-First_flight2.jpg
5,Lewis Hine,1908,Pamuk Fabrikasındaki Kız,Çocuk işçiliği,ABD'de çocuk işçiliği düzenlemelerini etkiledi,Kuzey Carolina,Siyah-Beyaz,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Lewis_Hine_selfportrait.jpg/330px-Lewis_Hine_selfportrait.jpg
6,Henri Cartier-Bresson,1932,Saint-Lazare Garı Arkasında,Paris sokak anı,Karar anı kavramının simgesi,Paris,Siyah-Beyaz,https://upload.wikimedia.org/wikipedia/en/8/85/Henri_Cartier-Bresson_-_Behind_the_Gare_Saint-Lazare%2C_1932.jpg
7,Charles C. Ebbets,1932,Gökdelenin Tepesinde Öğle Yemeği,Rockefeller Center inşaatı,Kentleşme ve işçilik simgesi,New York,Siyah-Beyaz,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Lunch_atop_a_Skyscraper_-_Charles_Clyde_Ebbets.jpg/330px-Lunch_atop_a_Skyscraper_-_Charles_Clyde_Ebbets.jpg
8,Robert Capa,1936,Düşen Asker,İspanya İç Savaşı,Savaş fotoğrafçılığının en çok tartışılan karesi,Cordoba,Siyah-Beyaz,https://upload.wikimedia.org/wikipedia/en/thumb/7/7b/Capa%2C_Death_of_a_Loyalist_Soldier.jpg/330px-Capa%2C_Death_of_a_Loyalist_Soldier.jpg
9,Dorothea Lange,1936,Göçmen Anne,Büyük Buhran,Buhran döneminin simge görüntüsü,Kaliforniya,Siyah-Beyaz,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Lange-MigrantMother02.jpg/330px-Lange-MigrantMother02.jpg
10,Sam Shere,1937,Hindenburg Faciası,Zeplin kazası,Haber fotoğrafçılığının dönüm noktası,New Jersey,Siyah-Beyaz,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Hindenburg_disaster.jpg/330px-Hindenburg_disaster.jpg
11,Yousuf Karsh,1941,Kükreyen Aslan,Winston Churchill portresi,20. yüzyılın en tanınan portrelerinden,Ottawa,Siyah-Beyaz,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Sir_Winston_Churchill_-_19086236948.jpg/330px-Sir_Winston_Churchill_-_19086236948.jpg
