No,Sanatçı,Albüm,Şarkı Adı,Şarkı Sözleri,YouTube
1,Şebnem Ferah,Kadın,Vazgeçtim Dünyadan,"""Vazgeçtim Dünyadan""

Ner'de sözler, of, ner'de yüreğim?
Ben de sevdim, of, sevmedi bilenim
Ver elini sonsuza
Al beni dünyadan, of, kalmadı sevenim

Yürekler alınmaz pulla, parayla
Kim yenmiş kaderi duayla?

Gelinlik giymeden, ışığı görmeden
Bebeğimden önce vazgeçtim dünyadan
Kaderi yenmeden utandım kendimden
Daha sevilmeden vazgeçtim dünyadan

Ner'den geldim, of, yolculuk nereye?
Belki söyler, of, sorarsam kadere
Yok sevenim arzuyla
Mezarlar bile küsmüş, of, kadınca ölene

Yürekler alınamaz pulla, parayla
Kim yenmiş kaderi duayla?

Gelinlik giymeden, ışığı görmeden
Bebeğimden önce vazgeçtim dünyadan
Kaderi yenmeden utandım kendimden
Daha sevilmeden vazgeçtim dünyadan",sBE_mGu7yGg
2,Şebnem Ferah,Kadın,Deli Kızım Uyan,"""Deli Kızım Uyan""

Gece geçmez, gündüz olmaz
Can bu dünyaya dayanmaz, neden?
Haykırdım dağlara, duymaz
Bekledim günlerce, yok ki gelen

Karlı dağların ardında biri yaşarmış
Bulut olur, yağmur olur, bize bakarmış
Hem yakın, hem uzakmış
Yanakları al almış

Deli kızım uyan
Söylenenler yalan
Deli kızım uyan
Bir tek sensin duyan
Bir tek sensin duyan

Yerde oldum, gökte oldum
Sormayın halim', ah, başım duman
Gönül uslanmayı bilmez
Düşlerim gerçek, gerçeğim yalan

Karlı dağların ardında biri yaşarmış
Bulut olur, yağmur olur, bize bakarmış
Hem yakın, hem uzakmış
Yanakları al almış

Deli kızım uyan
Söylenenler yalan
Deli kızım uyan
Bir tek sensin duyan
Bir tek sensin duyan",u7tUGIMviZI
3,Şebnem Ferah,Kadın,İyi Gün Dostlarım,"""İyi Gün Dostlarım""

Hangi gün, hangi an üzülsem, ağlasam
Halime güldünüz
Ne yapsam ne etsem olmadı anlayan
Aşkı çok gördünüz

Çekilin yanımdan, gelmeyin üstüme
İyi gün dostlarım, tutmayın elimden

Tutmayın elimden

Hangi gün, hangi an bir omuz arasam
Uzakta oldunuz
Ne yapsam ne etsem olmadı anlayan
Dostluğu çok gördünüz

Çekilin yanımdan, gelmeyin üstüme
İyi gün dostlarım, tutmayın elimden

Tutmayın elimden

Çekilin yanımdan, gelmeyin üstüme
İyi gün dostlarım, tutmayın elimden

Tutmayın elimden",SPCD2FiL29M
4,Şebnem Ferah,Kadın,Bu Aşk Fazla Sana,"""Bu Aşk Fazla Sana""

Denize açıldım sevmeye, sevilmeye
Anladım sevmek gibisi yok
Yağmura soyundum yavaş yavaş, yağar diye
Damlalarda yüzmek gibisi yok

Yokluğun varlığın bir
Dünüm yok, yarınım sır

Nasıl inanırım sana?
Bu yürek ağır bana
Sevgin öyle uzaklarda
Nefes alsan da yanımda
Nasıl inanırım sana?
Bu yürek ağır bana
Sevgin öyle uzaklarda
Nefes alsan da yanımda
Bu aşk fazla sana

Denize açıldım sevmeye, sevilmeye
Anladım sevmek gibisi yok
Yağmura soyundum yavaş yavaş, yağar diye
Damlalarda yüzmek gibisi yok

Yokluğun varlığın bir
Dünüm yok, yarınım sır

Nasıl inanırım sana?
Bu yürek ağır bana
Sevgin öyle uzaklarda
Nefes alsan da yanımda
Nasıl inanırım sana?
Bu yürek ağır bana
Sevgin öyle uzaklarda
Nefes alsan da yanımda
Bu aşk fazla sana

Yokluğun varlığın bir
Dünüm yok, yarınım sır

Nasıl inanırım sana?
Bu yürek ağır bana
Sevgin öyle uzaklarda
Nefes alsan da yanımda
Nasıl inanırım sana?
Bu yürek ağır bana
Sevgin öyle uzaklarda
Nefes alsan da yanımda
Bu aşk fazla sana
Bu aşk fazla sana",vqKHyby8kjU
5,Şebnem Ferah,Kadın,Bırak Kadının Olayım,"""Bırak Kadının Olayım""

Bu şarkı bir haykırış
Bir öpücük, sıcak bir kış
Bir demet gül, bir dokunuş
Bu şarkı bir yalvarış, bitmesin, sürsün bu düş
Sen de düşün, sen de konuş

Nereye gider bu aşk?
Nereye? Dur, gitme
Nereye gider bu aşk?
Nereye? Dur, gitme
Bırak, kadının olayım
Bırak, kadının olayım

Bu şarkı bir haykırış
Bir öpücük, sıcak bir kış
Bir demet gül, bir dokunuş
Bu şarkı bir yalvarış, bitmesin, sürsün bu düş
Sen de düşün, sen de konuş

Nereye gider bu aşk?
Nereye? Dur, gitme
Nereye gider bu aşk?
Nereye? Dur, gitme
Bırak, kadının olayım
Bırak, kadının olayım

Nereye gider bu aşk?
Nereye? Dur, gitme
Nereye gider bu aşk?
Nereye? Dur, gitme
Bırak, kadının olayım
Bırak, kadının olayım",MnnAvM6_YxA
6,Şebnem Ferah,Kadın,Fırtına,"""Fırtına""

Niye bana her şey korku, her şey tasa?
Ne gece ne gündüz kaygısız
Neden bütün yollar karanlığa?
Gecelerim uzun, ışıksız

Aşk yarı yolda kaldı, neyleyim?
Korkmuyorum, ben buyum, böyleyim

Yarınlar kadar yakın içimde fırtına
Bu dalgasız deniz durgun, aldatır, inanma
Yaslanıp gururumun kambur sırtına
Kendime rağmen durmam, basar giderim

Nereye gider yollar, sır dağlara
Denizler uçsuz, bucaksız
Gözlerim arkadaş uzaklara
Dalar gider, ah, faydasız

Aşk yarı yolda kaldı, neyleyim?
Korkmuyorum, ben buyum, böyleyim

Yarınlar kadar yakın içimde fırtına
Bu dalgasız deniz durgun, aldatır, inanma
Yaslanıp gururumun kambur sırtına
Kendime rağmen durmam, basar giderim

Aşk yarı yolda kaldı, neyleyim?
Korkmuyorum, ben buyum, böyleyim

Yarınlar kadar yakın içimde fırtına
Bu dalgasız deniz durgun, aldatır, inanma
Yaslanıp gururumun kambur sırtına
Kendime rağmen durmam, basar giderim

Yarınlar kadar yakın içimde fırtına
Bu dalgasız deniz durgun, aldatır, inanma
Yaslanıp gururumun kambur sırtına
Kendime rağmen durmam, basar giderim",YMCqAp3Vigs
7,Şebnem Ferah,Kadın,Yağmurlar,"""Yağmurlar""

Sokaklar sakin, geceler karabasan
Ellerim titrer, kim bu ben, kim bu susan?
Ne soran var ne bilen, sebebim yok
Bana kıyan erkeğim, sen gül
Vazgeçtim rüyalardan

Beni sevmezsen yağmurları sev
Bulutlar ağlasın, sen gül
Güneş doğsun yeniden

Gidiyorum, gözüm yaşlı
Hatıran har yüreğime
Sen sev yağmurları
Yağmurlar yağsın üzerime

Gidiyorum, gözüm yaşlı
Ah, yine yol, yol üstüne
Sen sev yağmurları
Yağmurlar yağsın yüzüme

Sokaklar sakin, geceler karabasan
Ellerim titrer, kim bu ben, kim bu susan?
Ne soran var ne bilen, sebebim yok
Bana kıyan erkeğim, sen gül
Vazgeçtim rüyalardan

Beni sevmezsen yağmurları sev
Bulutlar ağlasın, sen gül
Güneş doğsun yeniden

Gidiyorum, gözüm yaşlı
Hatıran har yüreğime
Sen sev yağmurları
Yağmurlar yağsın üzerime

Gidiyorum, gözüm yaşlı
Ah, yine yol, yol üstüne
Sen sev yağmurları
Yağmurlar yağsın yüzüme

Beni sevmezsen yağmurları sev
Bulutlar ağlasın, sen gül
Güneş doğsun yeniden

Gidiyorum, gözüm yaşlı
Hatıran har yüreğime
Sen sev yağmurları
Yağmurlar yağsın üzerime

Gidiyorum, gözüm yaşlı
Ah, yine yol, yol üstüne
Sen sev yağmurları
Yağmurlar yağsın yüzüme
Yüzüme
Yüzüme
Yüzüme",GznRBEUOchY
8,Şebnem Ferah,Kadın,Yeniden Doğup Gelsem,"""Yeniden Doğup Gelsem""

Al beni istersen, sevgim içimde
Gökyüzüm masmavi, çığlıklar gökyüzümde
Al beni yanına, dünyadan koru
Yeniden öğret dünyadaki yolu, Tanrı'm

Hayalim var, ümidim çok
Sebebim var, dönüşüm yok

Yeniden doğup gelsem
Çocuk kalır, büyümezdim
Açılan penceremden
Yine seni severdim

Yeniden doğup gelsem
Çocuk kalır, büyümezdim
Açılan penceremden
Yine seni severdim

Al beni istersen, sevgim içimde
Gökyüzüm masmavi, çığlıklar gökyüzümde
Al beni istersen, korkum içimde
Umudum isyanda, isyanım karanlıkta

Hayalim var, ümidim çok
Sebebim var, dönüşüm yok

Yeniden doğup gelsem
Çocuk kalır, büyümezdim
Açılan penceremden
Yine seni severdim

Yeniden doğup gelsem
Çocuk kalır, büyümezdim
Açılan penceremden
Yine seni severdim

Hayalim var, ümidim çok
Sebebim var, dönüşüm yok

Yeniden doğup gelsem
Çocuk kalır, büyümezdim
Açılan penceremden
Yine seni severdim

Yeniden doğup gelsem
Çocuk kalır, büyümezdim
Açılan penceremden
Yine seni severdim",eE0p98RrPJ0
9,Şebnem Ferah,Kadın,Durma,"""Durma""

Biz yollarda yalnız kaldık
Masallarla sevgi verilmez
Biz yıllarca korku dolduk
Rüzgara yön sorduk, bilinmez

Hangi el güçlü bu ellerden, yiğit yüreklerden?
Başlasak yeniden, yeniden, yeniden

Hayır, sen hiç korkma
Yarın senin yanında
Yeniden koş yollarda, durma, durma

Hayır, sen hiç korkma
Yarın senin yanında
Yeniden koş yollarda, durma, durma

Hangi el güçlü bu ellerden, yiğit yüreklerden?
Başlasak yeniden, yeniden, yeniden

Biz yollarda yalnız kaldık
Masallarla sevgi verilmez
Biz yıllarca korku dolduk
Rüzgara yön sorduk, bilinmez

Hangi el güçlü bu ellerden, yiğit yüreklerden?
Başlasak yeniden, yeniden, yeniden

Hayır, sen hiç korkma
Yarın senin yanında
Yeniden koş yollarda, durma, durma

Hayır, sen hiç korkma
Yarın senin yanında
Yeniden koş yollarda, durma, durma

Hangi el güçlü bu ellerden, yiğit yüreklerden?
Başlasak yeniden, yeniden, yeniden

Hangi el güçlü bu ellerden, yiğit yüreklerden?
Başlasak yeniden, yeniden, yeniden

Hayır, sen hiç korkma
Yarın senin yanında
Yeniden koş yollarda, durma, durma

Hayır, sen hiç korkma
Yarın senin yanında
Yeniden koş yollarda, durma, durma

Hayır, sen hiç korkma
Yarın senin yanında
Yeniden koş yollarda, durma, durma

Hayır, sen hiç korkma
Yarın senin yanında
Yeniden koş yollarda, durma, durma

Hangi el güçlü bu ellerden, yiğit yüreklerden?
Başlasak yeniden, yeniden, yeniden
Oh",gglmwP1lzaE
10,Şebnem Ferah,Kadın,Buradan Göçerken,"""Buradan Göçerken""

Bu beden, bu yüz yaşarken
Dün bugünle buluşurken
Bu deniz, bu mavi varken
Ner'deyiz? Niye? Neden?

Ner'de hani yalanlar?
Ner'de, boşa giden kan?
Ner'de hani yalanlar?
Ner'de, boşa giden kan?
Buradan göçerken, buradan göçerken

Bu beden, bu yüz yaşarken
Dün bugünle buluşurken
Bu deniz, bu mavi varken
Ner'deyiz? Niye? Neden?

Ner'de hani yalanlar?
Ner'de, boşa giden kan?
Ner'de hani yalanlar?
Ner'de, boşa giden kan?
Buradan göçerken, buradan göçerken

Bir sevgi var kalan bir düşünen
Bir duygu var kalan bir de düşünen
Buradan göçerken, buradan göçerken",jfuCkatMHAM
