No,Şampiyon,Yıl,Turnuva,Ev Sahibi,Finalist,Final Skoru,Takım Sayısı,Gol Kralı,Kıta
1,Uruguay,1930,1930 Dünya Kupası,Uruguay,Arjantin,4-2,13,Guillermo Stábile (8),Güney Amerika
2,İtalya,1934,1934 Dünya Kupası,İtalya,Çekoslovakya,2-1 (uzatma),16,Oldrich Nejedly (5),Avrupa
3,İtalya,1938,1938 Dünya Kupası,Fransa,Macaristan,4-2,15,Leonidas (7),Avrupa
4,Uruguay,1950,1950 Dünya Kupası,Brezilya,Brezilya,2-1 (final grubu),13,Ademir (8),Güney Amerika
5,Batı Almanya,1954,1954 Dünya Kupası,İsviçre,Macaristan,3-2,16,Sandor Kocsis (11),Avrupa
6,Brezilya,1958,1958 Dünya Kupası,İsveç,İsveç,5-2,16,Just Fontaine (13),Avrupa
7,Brezilya,1962,1962 Dünya Kupası,Şili,Çekoslovakya,3-1,16,Altı oyuncu ortak (4),Güney Amerika
8,İngiltere,1966,1966 Dünya Kupası,İngiltere,Batı Almanya,4-2 (uzatma),16,Eusebio (9),Avrupa
9,Brezilya,1970,1970 Dünya Kupası,Meksika,İtalya,4-1,16,Gerd Müller (10),Kuzey Amerika
10,Batı Almanya,1974,1974 Dünya Kupası,Batı Almanya,Hollanda,2-1,16,Grzegorz Lato (7),Avrupa
11,Arjantin,1978,1978 Dünya Kupası,Arjantin,Hollanda,3-1 (uzatma),16,Mario Kempes (6),Güney Amerika
12,İtalya,1982,1982 Dünya Kupası,İspanya,Batı Almanya,3-1,24,Paolo Rossi (6),Avrupa
13,Arjantin,1986,1986 Dünya Kupası,Meksika,Batı Almanya,3-2,24,Gary Lineker (6),Kuzey Amerika
14,Batı Almanya,1990,1990 Dünya Kupası,İtalya,Arjantin,1-0,24,Salvatore Schillaci (6),Avrupa
15,Brezilya,1994,1994 Dünya Kupası,ABD,İtalya,0-0 (3-2 penaltı),24,Stoichkov ve Salenko (6),Kuzey Amerika
16,Fransa,1998,1998 Dünya Kupası,Fransa,Brezilya,3-0,32,Davor Suker (6),Avrupa
17,Brezilya,2002,2002 Dünya Kupası,Güney Kore ve Japonya,Almanya,2-0,32,Ronaldo (8),Asya
18,İtalya,2006,2006 Dünya Kupası,Almanya,Fransa,1-1 (5-3 penaltı),32,Miroslav Klose (5),Avrupa
19,İspanya,2010,2010 Dünya Kupası,Güney Afrika,Hollanda,1-0 (uzatma),32,Dört oyuncu ortak (5),Afrika
20,Almanya,2014,2014 Dünya Kupası,Brezilya,Arjantin,1-0 (uzatma),32,James Rodriguez (6),Güney Amerika
21,Fransa,2018,2018 Dünya Kupası,Rusya,Hırvatistan,4-2,32,Harry Kane (6),Avrupa
22,Arjantin,2022,2022 Dünya Kupası,Katar,Fransa,3-3 (4-2 penaltı),32,Kylian Mbappe (8),Asya
23,İspanya,2026,2026 Dünya Kupası,Kanada-Meksika-ABD,Arjantin,1-0 (uzatma),48,Kylian Mbappe (10),Kuzey Amerika
