No,Dönem,Yaşadığı Yıllar,Besteci,Ülke,Ünlü Eseri,Başlıca Türü,Doğum Yeri
1,Erken Barok,1567-1643,Claudio Monteverdi,İtalya,Orfeo,Opera,Cremona
2,Barok,1659-1695,Henry Purcell,İngiltere,Dido ve Aeneas,Opera,Londra
3,Barok,1678-1741,Antonio Vivaldi,İtalya,Dört Mevsim,Konçerto,Venedik
4,Barok,1681-1767,Georg Philipp Telemann,Almanya,Tafelmusik,Süit,Magdeburg
5,Barok,1685-1750,Johann Sebastian Bach,Almanya,Brandenburg Konçertoları,Kantat ve füg,Eisenach
6,Barok,1685-1759,Georg Friedrich Händel,Almanya-İngiltere,Mesih,Oratoryo,Halle
7,Barok,1685-1757,Domenico Scarlatti,İtalya,Klavsen Sonatları,Sonat,Napoli
8,Klasik (öncü),1714-1787,Christoph Willibald Gluck,Almanya,Orfeo ed Euridice,Opera,Erasbach
9,Klasik,1732-1809,Joseph Haydn,Avusturya,Sürpriz Senfonisi,Senfoni,Rohrau
10,Klasik,1756-1791,Wolfgang Amadeus Mozart,Avusturya,Sihirli Flüt,Opera,Salzburg
11,Klasik-Romantik,1770-1827,Ludwig van Beethoven,Almanya,9. Senfoni,Senfoni,Bonn
12,Romantik,1792-1868,Gioachino Rossini,İtalya,Sevil Berberi,Opera,Pesaro
13,Romantik,1797-1828,Franz Schubert,Avusturya,Bitmemiş Senfoni,Lied,Viyana
14,Romantik,1803-1869,Hector Berlioz,Fransa,Fantastik Senfoni,Senfoni,La Cote-Saint-Andre
15,Romantik,1809-1847,Felix Mendelssohn,Almanya,Bir Yaz Gecesi Rüyası,Senfoni,Hamburg
16,Romantik,1810-1849,Frederic Chopin,Polonya,Piyano Baladları,Piyano,Zelazowa Wola
17,Romantik,1810-1856,Robert Schumann,Almanya,Kinderszenen,Piyano ve lied,Zwickau
18,Romantik,1811-1886,Franz Liszt,Macaristan,Macar Rapsodileri,Piyano,Raiding
19,Romantik,1813-1883,Richard Wagner,Almanya,Nibelungen Yüzüğü,Opera,Leipzig
20,Romantik,1813-1901,Giuseppe Verdi,İtalya,Aida,Opera,Le Roncole
21,Romantik,1818-1893,Charles Gounod,Fransa,Faust,Opera,Paris
22,Romantik,1819-1880,Jacques Offenbach,Fransa,Hoffmann'ın Masalları,Operet,Köln
23,Romantik,1822-1890,Cesar Franck,Belçika-Fransa,Re minör Senfoni,Senfoni,Liege
24,Milliyetçi Romantik,1824-1884,Bedrich Smetana,Çekya,Vltava,Senfonik şiir,Litomysl
25,Romantik,1824-1896,Anton Bruckner,Avusturya,7. Senfoni,Senfoni,Ansfelden
26,Romantik,1825-1899,Johann Strauss II,Avusturya,Mavi Tuna,Vals,Viyana
27,Romantik,1833-1897,Johannes Brahms,Almanya,Alman Requiemi,Senfoni,Hamburg
28,Romantik,1835-1921,Camille Saint-Saens,Fransa,Hayvanlar Karnavalı,Süit,Paris
29,Romantik,1838-1875,Georges Bizet,Fransa,Carmen,Opera,Paris
30,Milliyetçi Romantik,1839-1881,Modest Mussorgsky,Rusya,Bir Sergiden Tablolar,Piyano,Karevo
31,Romantik,1840-1893,Piyotr İlyiç Çaykovski,Rusya,Kuğu Gölü,Bale,Votkinsk
32,Milliyetçi Romantik,1841-1904,Antonin Dvorak,Çekya,Yeni Dünya Senfonisi,Senfoni,Nelahozeves
33,Milliyetçi Romantik,1843-1907,Edvard Grieg,Norveç,Peer Gynt,Süit,Bergen
34,Milliyetçi Romantik,1844-1908,Nikolay Rimski-Korsakov,Rusya,Şehrazat,Senfonik süit,Tihvin
35,Romantik,1845-1924,Gabriel Faure,Fransa,Requiem,Oda müziği,Pamiers
36,Romantik,1857-1934,Edward Elgar,İngiltere,Enigma Varyasyonları,Orkestra,Broadheath
37,Romantik,1858-1924,Giacomo Puccini,İtalya,Turandot,Opera,Lucca
38,Geç Romantik,1860-1911,Gustav Mahler,Avusturya,5. Senfoni,Senfoni,Kalischt
39,İzlenimci,1862-1918,Claude Debussy,Fransa,Ay Işığı,Piyano,Saint-Germain-en-Laye
40,Geç Romantik,1864-1949,Richard Strauss,Almanya,Böyle Buyurdu Zerdüşt,Senfonik şiir,Münih
41,Geç Romantik,1865-1957,Jean Sibelius,Finlandiya,Finlandia,Senfonik şiir,Hameenlinna
42,Modern,1866-1925,Erik Satie,Fransa,Gymnopedies,Piyano,Honfleur
43,Modern,1872-1958,Ralph Vaughan Williams,İngiltere,Tallis Fantezisi,Orkestra,Down Ampney
44,Geç Romantik,1873-1943,Sergey Rahmaninov,Rusya,2. Piyano Konçertosu,Piyano,Semyonovo
45,Atonal Modern,1874-1951,Arnold Schoenberg,Avusturya,Arınmış Gece,Oda müziği,Viyana
46,İzlenimci,1875-1937,Maurice Ravel,Fransa,Bolero,Orkestra,Ciboure
47,Modern,1881-1945,Bela Bartok,Macaristan,Mikrokosmos,Piyano,Nagyszentmiklos
48,Modern,1882-1971,Igor Stravinski,Rusya,Bahar Ayini,Bale,Oranienbaum
49,Modern,1891-1953,Sergey Prokofyev,Rusya,Peter ve Kurt,Orkestra,Sontsivka
50,Modern,1898-1937,George Gershwin,ABD,Mavi Rapsodi,Orkestra,New York
51,Modern,1906-1975,Dmitri Şostakoviç,Rusya,7. Senfoni (Leningrad),Senfoni,Saint Petersburg
52,Modern,1913-1976,Benjamin Britten,İngiltere,Savaş Requiemi,Opera,Lowestoft
