No,Kıta,Nüfus (milyon),Ülke,Yüzölçümü (bin km²),GSYH (milyar $),Kişi Başı Gelir ($)
1,Asya,1425,Çin,9597,17900,12600
2,Asya,1428,Hindistan,3287,3700,2600
3,Kuzey Amerika,335,ABD,9834,27000,80000
4,Asya,277,Endonezya,1905,1400,5000
5,Asya,240,Pakistan,881,340,1500
6,Güney Amerika,216,Brezilya,8516,2170,10000
7,Afrika,223,Nijerya,924,390,1750
8,Asya,171,Bangladeş,148,460,2700
9,Avrupa-Asya,144,Rusya,17098,2200,15300
10,Kuzey Amerika,128,Meksika,1964,1800,14000
11,Asya,125,Japonya,378,4200,33500
12,Afrika,112,Etiyopya,1104,160,1400
13,Afrika,110,Mısır,1001,395,3600
14,Asya,117,Filipinler,300,440,3800
15,Asya,98,Vietnam,331,430,4350
16,Avrupa-Asya,85,Türkiye,784,1100,13000
17,Asya,89,İran,1648,400,4500
18,Avrupa,84,Almanya,357,4450,53000
19,Asya,36,Suudi Arabistan,2150,1070,30000
20,Avrupa,68,Fransa,644,3000,44500
21,Avrupa,68,Birleşik Krallık,244,3350,49000
22,Avrupa,59,İtalya,301,2250,38000
23,Afrika,60,Güney Afrika,1221,380,6300
24,Asya,52,Güney Kore,100,1710,33000
25,Güney Amerika,46,Arjantin,2780,640,13900
26,Avrupa,48,İspanya,506,1580,33000
27,Avrupa,38,Polonya,313,810,21000
28,Kuzey Amerika,39,Kanada,9985,2140,55000
29,Okyanusya,26,Avustralya,7692,1720,65000
30,Asya,10,Birleşik Arap Emirlikleri,84,510,50000
31,Avrupa,17,Hollanda,42,1090,63000
32,Avrupa,10,İsveç,450,590,56000
33,Avrupa,9,İsviçre,41,885,99000
34,Avrupa,10,Yunanistan,132,240,22500
35,Asya,6,Singapur,0.7,500,84000
36,Asya,10,Azerbaycan,87,78,7700
37,Asya,20,Kazakistan,2725,260,13000
38,Afrika,37,Fas,447,140,3800
39,Güney Amerika,52,Kolombiya,1142,360,6900
40,Asya,71,Tayland,513,515,7300
