No,Ülke,Yükseklik (m),Dağ,Sıradağ/Bölge,Kıta
1,Nepal-Çin,8849,Everest,Himalayalar,Asya
2,Pakistan-Çin,8611,K2,Karakurum,Asya
3,Nepal-Hindistan,8586,Kangçencunga,Himalayalar,Asya
4,Nepal-Çin,8516,Lhotse,Himalayalar,Asya
5,Nepal-Çin,8485,Makalu,Himalayalar,Asya
6,Arjantin,6961,Aconcagua,And Dağları,Güney Amerika
7,ABD,6190,Denali,Alaska Sıradağları,Kuzey Amerika
8,Tanzanya,5895,Kilimanjaro,Doğu Afrika,Afrika
9,Rusya,5642,Elbruz,Kafkas Dağları,Avrupa
10,İran,5610,Demavend,Elburz Dağları,Asya
11,Kenya,5199,Kenya Dağı,Doğu Afrika,Afrika
12,Türkiye,5137,Ağrı Dağı,Doğu Anadolu,Asya
13,Antarktika,4892,Vinson,Ellsworth Dağları,Antarktika
14,Fransa-İtalya,4809,Mont Blanc,Alpler,Avrupa
15,İsviçre-İtalya,4478,Matterhorn,Alpler,Avrupa
16,ABD,4207,Mauna Kea,Hawaii,Okyanusya
17,Fas,4167,Toubkal,Atlas Dağları,Afrika
18,Türkiye,4135,Cilo Dağı,Hakkari Dağları,Asya
19,Türkiye,4058,Süphan Dağı,Doğu Anadolu,Asya
20,Türkiye,3937,Kaçkar Dağı,Doğu Karadeniz Dağları,Asya
21,Türkiye,3917,Erciyes Dağı,İç Anadolu,Asya
22,Japonya,3776,Fuji,Honşu,Asya
23,Almanya,2962,Zugspitze,Alpler,Avrupa
24,Yunanistan,2917,Olimpos,Teselya,Avrupa
25,Türkiye,2543,Uludağ,Marmara Bölgesi,Asya
