No,Bölge,İl,Ova,Sulayan Akarsu,Başlıca Ürünler
1,Akdeniz,Adana,Çukurova,Seyhan ve Ceyhan,Pamuk ve narenciye
2,İç Anadolu,Konya,Konya Ovası,Çarşamba Çayı,Buğday ve şekerpancarı
3,Güneydoğu Anadolu,Şanlıurfa,Harran Ovası,Fırat (GAP sulaması),Pamuk ve mısır
4,Karadeniz,Samsun,Bafra Ovası,Kızılırmak,Sebze ve çeltik
5,Karadeniz,Samsun,Çarşamba Ovası,Yeşilırmak,Fındık ve sebze
6,Ege,Manisa,Gediz Ovası,Gediz,Üzüm ve pamuk
7,Ege,Aydın,Büyük Menderes Ovası,Büyük Menderes,Pamuk ve incir
8,Ege,İzmir,Küçük Menderes Ovası,Küçük Menderes,Sebze ve meyve
9,Ege,İzmir,Bakırçay Ovası,Bakırçay,Tütün ve zeytin
10,Akdeniz,Hatay,Amik Ovası,Asi,Pamuk ve buğday
11,Marmara,Tekirdağ,Ergene Ovası,Ergene,Ayçiçeği ve buğday
12,Marmara,Bursa,Bursa Ovası,Nilüfer Çayı,Meyve ve sebze
13,Doğu Anadolu,Erzurum,Erzurum Ovası,Karasu,Tahıl ve yem bitkileri
14,Doğu Anadolu,Muş,Muş Ovası,Murat,Şekerpancarı ve tahıl
15,Doğu Anadolu,Iğdır,Iğdır Ovası,Aras,Pamuk ve kayısı
