No,Alan,Yaşadığı Yıllar,Bilim İnsanı,Ülke,Önemli Katkısı,Önemli Ödül,Çalıştığı Kurum
1,Biyokimya,1946-,Aziz Sancar,Türkiye-ABD,DNA onarımı mekanizması,2015 Nobel Kimya Ödülü,North Carolina Üniversitesi
2,Matematik,1910-1997,Cahit Arf,Türkiye,Arf değişmezi ve Arf halkaları,İnönü Armağanı,İTÜ ve ODTÜ
3,Tıp,1889-1948,Hulusi Behçet,Türkiye,Behçet hastalığını tanımladı,-,İstanbul Üniversitesi
4,Kimya,1935-2015,Oktay Sinanoğlu,Türkiye,Kuantum kimyası ve moleküler teoriler,TÜBİTAK Bilim Ödülü,Yale Üniversitesi
5,Fizik,1921-1992,Feza Gürsey,Türkiye,Parçacık fiziğinde simetri kuramları,Wigner Madalyası,Yale Üniversitesi
6,Astronomi,1403-1474,Ali Kuşçu,Semerkant-İstanbul,Fatih döneminde astronomi çalışmaları,-,Ayasofya Medresesi
7,Astronomi,1394-1449,Uluğ Bey,Semerkant,Semerkant Rasathanesi ve yıldız kataloğu,-,Semerkant Rasathanesi
8,Matematik,780-850,El-Harezmi,Harezm-Bağdat,Cebirin kurucusu ve algoritma kavramı,-,Bağdat Bilgelik Evi
9,Tıp-Felsefe,980-1037,İbn-i Sina,Buhara,El-Kanun fi't-Tıb adlı tıp ansiklopedisi,-,Buhara Sarayı
10,Çok bilimli,973-1048,Biruni,Harezm,Dünyanın çevresini hesapladı,-,Gazne Sarayı
11,Mühendislik,1136-1206,El-Cezeri,Cizre-Diyarbakır,Sibernetiğin öncüsü otomatik makineler,-,Artuklu Sarayı
12,Haritacılık,1465-1553,Piri Reis,Osmanlı,1513 tarihli dünya haritası,-,Osmanlı Donanması
13,Fizik-Matematik,1643-1727,Isaac Newton,İngiltere,Evrensel kütle çekimi ve hareket yasaları,Copley Madalyası,Cambridge Üniversitesi
14,Fizik,1879-1955,Albert Einstein,Almanya-ABD,Görelilik kuramı,1921 Nobel Fizik Ödülü,Princeton İleri Araştırmalar Enstitüsü
15,Fizik-Kimya,1867-1934,Marie Curie,Polonya-Fransa,Radyoaktivite araştırmaları,1903 ve 1911 Nobel Ödülü,Sorbonne Üniversitesi
16,Elektrik,1856-1943,Nikola Tesla,Sırbistan-ABD,Alternatif akım sistemleri,Edison Madalyası,Westinghouse Şirketi
17,Biyoloji,1809-1882,Charles Darwin,İngiltere,Evrim kuramı ve Türlerin Kökeni,Copley Madalyası,-
18,Astronomi-Fizik,1564-1642,Galileo Galilei,İtalya,Teleskopla gözlem ve modern bilimin öncüsü,-,Padova Üniversitesi
19,Astronomi,1473-1543,Kopernik,Polonya,Güneş merkezli evren modeli,-,-
20,Genetik,1822-1884,Gregor Mendel,Avusturya,Kalıtım yasaları,-,Brno Manastırı
21,Mikrobiyoloji,1822-1895,Louis Pasteur,Fransa,Pastörizasyon ve aşı geliştirme,Copley Madalyası,Pasteur Enstitüsü
22,Fizik-Kimya,1791-1867,Michael Faraday,İngiltere,Elektromanyetik indüksiyon,Copley Madalyası,Royal Institution
23,Fizik,1831-1879,James Clerk Maxwell,İskoçya,Elektromanyetizma denklemleri,Rumford Madalyası,Cambridge Üniversitesi
24,Fizik,1858-1947,Max Planck,Almanya,Kuantum kuramının kurucusu,1918 Nobel Fizik Ödülü,Berlin Üniversitesi
25,Fizik,1885-1962,Niels Bohr,Danimarka,Atom modeli,1922 Nobel Fizik Ödülü,Kopenhag Üniversitesi
26,Fizik,1901-1976,Werner Heisenberg,Almanya,Belirsizlik ilkesi,1932 Nobel Fizik Ödülü,Leipzig Üniversitesi
27,Matematik-Bilgisayar,1815-1852,Ada Lovelace,İngiltere,İlk bilgisayar programcısı kabul edilir,-,-
28,Matematik-Bilgisayar,1912-1954,Alan Turing,İngiltere,Modern bilgisayar biliminin kurucusu,-,Manchester Üniversitesi
29,Kimya-Biyoloji,1920-1958,Rosalind Franklin,İngiltere,DNA yapısının görüntülenmesi,-,King's College London
30,Matematik-Fizik,MÖ 287-212,Arşimet,Siraküza,Kaldıraç ve suyun kaldırma kuvveti,-,-
31,Kimya,1834-1907,Dmitri Mendeleyev,Rusya,Periyodik tabloyu oluşturdu,Davy Madalyası,St. Petersburg Üniversitesi
32,Kimya,1743-1794,Antoine Lavoisier,Fransa,Modern kimyanın kurucusu ve kütlenin korunumu,-,Fransa Bilimler Akademisi
33,Mucit-Elektrik,1847-1931,Thomas Edison,ABD,Ampul ve fonograf gibi 1000+ patent,-,Menlo Park Laboratuvarı
34,Fizik,1942-2018,Stephen Hawking,İngiltere,Kara delikler ve Hawking ışıması,Copley Madalyası,Cambridge Üniversitesi
35,Fizik,1887-1961,Erwin Schrödinger,Avusturya,Kuantum dalga denklemi,1933 Nobel Fizik Ödülü,Berlin Üniversitesi
36,Astronomi,1571-1630,Johannes Kepler,Almanya,Gezegen hareketi yasaları,-,Prag Sarayı
37,Matematik,MÖ 325-265,Öklid,İskenderiye,Geometrinin babası ve Elementler,-,İskenderiye Kütüphanesi
38,Matematik,MÖ 570-495,Pisagor,Yunanistan,Pisagor teoremi,-,Kroton Okulu
39,Matematik,1170-1250,Leonardo Fibonacci,İtalya,Fibonacci dizisi ve Arap rakamları,-,Piza
40,Matematik,1777-1855,Carl Friedrich Gauss,Almanya,Sayılar teorisi ve normal dağılım,Copley Madalyası,Göttingen Üniversitesi
41,Matematik,1826-1866,Bernhard Riemann,Almanya,Riemann geometrisi ve hipotezi,-,Göttingen Üniversitesi
42,Fizik,1871-1937,Ernest Rutherford,Yeni Zelanda,Atom çekirdeğini keşfetti,1908 Nobel Kimya Ödülü,Manchester Üniversitesi
43,Fizik,1901-1954,Enrico Fermi,İtalya-ABD,İlk nükleer reaktörü yaptı,1938 Nobel Fizik Ödülü,Chicago Üniversitesi
44,Fizik,1918-1988,Richard Feynman,ABD,Kuantum elektrodinamiği,1965 Nobel Fizik Ödülü,Caltech
45,Astronomi,1889-1953,Edwin Hubble,ABD,Evrenin genişlediğini keşfetti,-,Mount Wilson Gözlemevi
46,Genetik,1928-,James Watson,ABD,DNA çift sarmal yapısı,1962 Nobel Tıp Ödülü,Cold Spring Harbor Laboratuvarı
47,Genetik,1916-2004,Francis Crick,İngiltere,DNA çift sarmal yapısı,1962 Nobel Tıp Ödülü,Cambridge Üniversitesi
48,Matematik-Bilgisayar,1903-1957,John von Neumann,Macaristan-ABD,Modern bilgisayar mimarisi,Enrico Fermi Ödülü,Princeton İleri Araştırmalar Enstitüsü
49,Matematik,1887-1920,Srinivasa Ramanujan,Hindistan,Sayılar teorisinde sezgisel keşifler,-,Cambridge Üniversitesi
50,Kimya,1627-1691,Robert Boyle,İrlanda,Boyle yasası ve modern kimya,-,Royal Society
51,Kimya,1766-1844,John Dalton,İngiltere,Modern atom teorisi,Royal Madalya,Manchester
52,Felsefe-Bilim,872-950,Farabi,Türkistan,İkinci öğretmen ve mantık bilimi,-,Bağdat
53,Astronomi,858-929,Battani,Harran,Güneş yılı hesabı ve trigonometri,-,Rakka Rasathanesi
54,Fizik-Optik,965-1040,İbn el-Heysem,Basra-Kahire,Optik biliminin kurucusu,-,Kahire
55,Felsefe-Bilim,MÖ 384-322,Aristoteles,Yunanistan,Mantık ve doğa bilimleri,-,Lyceum Okulu
56,Biyoloji,1707-1778,Carl Linnaeus,İsveç,Canlıların sınıflandırılması,-,Uppsala Üniversitesi
57,Fizik,1745-1827,Alessandro Volta,İtalya,İlk elektrik pilini icat etti,Copley Madalyası,Pavia Üniversitesi
58,Mikrobiyoloji,1881-1955,Alexander Fleming,İskoçya,Penisilini keşfetti,1945 Nobel Tıp Ödülü,St Mary Hastanesi
59,Fizik,1845-1923,Wilhelm Röntgen,Almanya,X ışınlarını keşfetti,1901 Nobel Fizik Ödülü,Münih Üniversitesi
60,Fizik,1902-1984,Paul Dirac,İngiltere,Kuantum mekaniği ve antimadde,1933 Nobel Fizik Ödülü,Cambridge Üniversitesi
61,Matematik,1882-1935,Emmy Noether,Almanya,Soyut cebir ve Noether teoremi,-,Göttingen Üniversitesi
62,Tıp,1749-1823,Edward Jenner,İngiltere,İlk çiçek aşısını geliştirdi,-,Berkeley
63,Matematik-Astronomi,1048-1131,Ömer Hayyam,İran,Kübik denklemler ve takvim reformu,-,İsfahan Rasathanesi
64,Astronomi-Matematik,1201-1274,Nasireddin Tusi,İran,Meraga Rasathanesi ve trigonometri,-,Meraga Rasathanesi
65,Bilgisayar,1955-,Tim Berners-Lee,İngiltere,World Wide Web sistemini icat etti,Turing Ödülü,MIT
