No,Akım,Yaşadığı Yıllar,Filozof,Ülke/Şehir,Önemli Eseri,Dönem,Temel Kavram
1,Doğa Felsefesi,MÖ 624-546,Thales,Milet,İlk filozof kabul edilir,Antik,Arkhe (su)
2,Klasik Yunan,MÖ 469-399,Sokrates,Atina,Sorgulama yöntemi (yazılı eseri yok),Antik,Diyalektik sorgulama
3,İdealizm,MÖ 427-347,Platon,Atina,Devlet,Antik,İdealar kuramı
4,Klasik Yunan,MÖ 384-322,Aristoteles,Atina,Nikomakhos'a Etik,Antik,Mantık ve erdem
5,Hazcılık,MÖ 341-270,Epikuros,Atina,Mektuplar,Antik,Haz ve dinginlik
6,Stoacılık,MÖ 334-262,Kıbrıslı Zenon,Atina,Stoa okulunun kurucusu,Antik,Logosa uygun yaşam
7,Doğu Felsefesi,MÖ 551-479,Konfüçyüs,Çin,Konuşmalar (Analektler),Antik,Erdem ve ahlak (ren)
8,Taoizm,MÖ 6. yüzyıl,Lao Tzu,Çin,Tao Te Ching,Antik,Tao (doğal yol)
9,Hristiyan Felsefesi,354-430,Augustinus,Kuzey Afrika-Roma,İtiraflar,Ortaçağ,İnanç ve ilahi lütuf
10,İslam Felsefesi,872-950,Farabi,Türkistan-Bağdat,El-Medinetü'l-Fazıla (Erdemli Şehir),Ortaçağ,Erdemli şehir
11,İslam Felsefesi,1058-1111,Gazali,Tus-Bağdat,İhya-u Ulumi'd-Din,Ortaçağ,İman ve tasavvuf
12,İslam Felsefesi,1126-1198,İbn Rüşd,Kurtuba,Tutarsızlığın Tutarsızlığı,Ortaçağ,Akıl ve din uyumu
13,Tarih Felsefesi,1332-1406,İbn Haldun,Tunus,Mukaddime,Ortaçağ,Asabiyet
14,Rasyonalizm,1596-1650,Rene Descartes,Fransa,Yöntem Üzerine Konuşma,Modern,Düşünüyorum öyleyse varım
15,Rasyonalizm,1632-1677,Baruch Spinoza,Hollanda,Etika,Modern,Tek töz (Tanrı-Doğa)
16,Empirizm,1632-1704,John Locke,İngiltere,İnsan Anlığı Üzerine Bir Deneme,Modern,Boş levha
17,Empirizm,1711-1776,David Hume,İskoçya,İnsan Doğası Üzerine Bir İnceleme,Modern,Nedensellik eleştirisi
18,Aydınlanma,1712-1778,Jean-Jacques Rousseau,Cenevre-Fransa,Toplum Sözleşmesi,Modern,Genel irade
19,Alman İdealizmi,1724-1804,Immanuel Kant,Prusya,Saf Aklın Eleştirisi,Modern,Kategorik buyruk
20,Alman İdealizmi,1770-1831,Hegel,Almanya,Tinin Fenomenolojisi,Modern,Diyalektik
21,Kötümserlik,1788-1860,Arthur Schopenhauer,Almanya,İstenç ve Tasarım Olarak Dünya,Modern,Yaşama istenci
22,Varoluşçuluk Öncüsü,1813-1855,Soren Kierkegaard,Danimarka,Korku ve Titreme,Modern,Bireysel varoluş
23,Materyalizm,1818-1883,Karl Marx,Almanya,Kapital,Modern,Sınıf mücadelesi
24,Faydacılık,1806-1873,John Stuart Mill,İngiltere,Özgürlük Üzerine,Modern,En çok fayda
25,Nihilizm Eleştirisi,1844-1900,Friedrich Nietzsche,Almanya,Böyle Buyurdu Zerdüşt,Modern,Üstinsan ve güç istenci
26,Analitik Felsefe,1889-1951,Ludwig Wittgenstein,Avusturya,Tractatus Logico-Philosophicus,Çağdaş,Dil oyunları
27,Varoluşçuluk,1889-1976,Martin Heidegger,Almanya,Varlık ve Zaman,Çağdaş,Varlık (Dasein)
28,Varoluşçuluk,1905-1980,Jean-Paul Sartre,Fransa,Varlık ve Hiçlik,Çağdaş,Varoluş özden önce gelir
29,Varoluşçuluk-Feminizm,1908-1986,Simone de Beauvoir,Fransa,İkinci Cinsiyet,Çağdaş,Kadın olarak var olma
30,Siyaset Felsefesi,1906-1975,Hannah Arendt,Almanya-ABD,Totalitarizmin Kaynakları,Çağdaş,Kötülüğün sıradanlığı
31,Doğa Felsefesi,MÖ 570-495,Pythagoras,Samos,Sayı kuramı ve teorem,Antik,Sayı ve uyum
32,İslam Felsefesi,980-1037,İbn Sina,Buhara-Hemedan,eş-Şifa,Ortaçağ,Zorunlu varlık
33,Siyaset Felsefesi,1469-1527,Niccolo Machiavelli,Floransa,Hükümdar,Modern,Amaç aracı meşrulaştırır
34,Aydınlanma,1694-1778,Voltaire,Fransa,Candide,Modern,Hoşgörü ve akıl
35,Postyapısalcılık,1926-1984,Michel Foucault,Fransa,Kelimeler ve Şeyler,Çağdaş,Bilgi ve iktidar
36,Doğa Felsefesi,MÖ 535-475,Herakleitos,Efes,Fragmanlar,Antik,Sürekli değişim (oluş)
37,Atomculuk,MÖ 460-370,Demokritos,Abdera,Atom kuramı,Antik,Atom ve boşluk
38,Elea Okulu,MÖ 515-450,Parmenides,Elea,Doğa Üzerine,Antik,Varlık birdir ve değişmez
39,Kinizm,MÖ 412-323,Sinoplu Diogenes,Sinop,Erdemli yoksul yaşam öğretisi,Antik,Doğaya uygun sade yaşam
40,Doğu Felsefesi,MÖ 563-483,Buda,Hindistan-Nepal,Dört Yüce Gerçek,Antik,Acıdan kurtuluş (nirvana)
41,Yeni Platonculuk,205-270,Plotinos,Mısır-Roma,Enneadlar,Antik,Bir'den südur
42,İslam Felsefesi,801-873,Kindi,Kufe-Bağdat,İlk Felsefe Üzerine,Ortaçağ,Akıl ve vahiy uyumu
43,Skolastik,1225-1274,Thomas Aquinas,İtalya,Summa Theologica,Ortaçağ,Akıl ve iman uyumu
44,Tasavvuf,1207-1273,Mevlana Celaleddin Rumi,Konya,Mesnevi,Ortaçağ,İlahi aşk ve vahdet
45,Tasavvuf,1238-1320,Yunus Emre,Anadolu,Divan,Ortaçağ,İnsan sevgisi ve hoşgörü
46,Empirizm,1561-1626,Francis Bacon,İngiltere,Novum Organum,Modern,Tümevarım ve deney
47,Rasyonalizm,1646-1716,Gottfried Leibniz,Almanya,Monadoloji,Modern,Monadlar ve önceden kurulmuş uyum
48,İdealizm,1685-1753,George Berkeley,İrlanda,İnsan Bilgisinin İlkeleri,Modern,Var olmak algılanmaktır
49,İktisat Felsefesi,1723-1790,Adam Smith,İskoçya,Milletlerin Zenginliği,Modern,Görünmez el
50,Pozitivizm,1798-1857,Auguste Comte,Fransa,Pozitif Felsefe Dersleri,Modern,Üç hal yasası
