No,Ülke,Kuruluş Yılı,Kulüp,Şehir,Şampiyonlar Ligi Kupası
1,İspanya,1902,Real Madrid,Madrid,15
2,İspanya,1899,Barcelona,Barselona,5
3,İspanya,1903,Atletico Madrid,Madrid,0
4,İspanya,1890,Sevilla,Sevilla,0
5,Almanya,1900,Bayern Münih,Münih,6
6,Almanya,1909,Borussia Dortmund,Dortmund,1
7,İngiltere,1878,Manchester United,Manchester,3
8,İngiltere,1892,Liverpool,Liverpool,6
9,İngiltere,1880,Manchester City,Manchester,1
10,İngiltere,1905,Chelsea,Londra,2
11,İngiltere,1886,Arsenal,Londra,0
12,İngiltere,1882,Tottenham Hotspur,Londra,0
13,İtalya,1899,Milan,Milano,7
14,İtalya,1908,Inter,Milano,3
15,İtalya,1897,Juventus,Torino,2
16,İtalya,1927,Roma,Roma,0
17,İtalya,1926,Napoli,Napoli,0
18,Fransa,1970,Paris Saint-Germain,Paris,1
19,Fransa,1899,Marsilya,Marsilya,1
20,Hollanda,1900,Ajax,Amsterdam,4
21,Hollanda,1913,PSV Eindhoven,Eindhoven,1
22,Hollanda,1908,Feyenoord,Rotterdam,1
23,Portekiz,1893,Porto,Porto,2
24,Portekiz,1904,Benfica,Lizbon,2
25,Portekiz,1906,Sporting Lizbon,Lizbon,0
26,İskoçya,1887,Celtic,Glasgow,1
27,Türkiye,1905,Galatasaray,İstanbul,0
28,Türkiye,1907,Fenerbahçe,İstanbul,0
29,Türkiye,1903,Beşiktaş,İstanbul,0
30,Türkiye,1967,Trabzonspor,Trabzon,0
