No,Ülke,Kuruluş Yılı,Marka,Ana Şirket/Grup,Segment
1,Japonya,1937,Toyota,Toyota Motor Corporation,Genel
2,Japonya,1948,Honda,Honda Motor,Genel
3,Japonya,1933,Nissan,Nissan Motor,Genel
4,Japonya,1920,Mazda,Mazda Motor,Genel
5,Japonya,1909,Suzuki,Suzuki Motor,Küçük araç
6,ABD,1903,Ford,Ford Motor Company,Genel
7,ABD,1911,Chevrolet,General Motors,Genel
8,ABD,2003,Tesla,Tesla Inc.,Elektrikli
9,Almanya,1916,BMW,BMW Group,Premium
10,Almanya,1926,Mercedes-Benz,Mercedes-Benz Group,Premium
11,Almanya,1909,Audi,Volkswagen Grubu,Premium
12,Almanya,1937,Volkswagen,Volkswagen Grubu,Genel
13,Almanya,1931,Porsche,Volkswagen Grubu,Spor
14,Almanya,1862,Opel,Stellantis,Genel
15,Fransa,1899,Renault,Renault Group,Genel
16,Fransa,1810,Peugeot,Stellantis,Genel
17,Fransa,1919,Citroen,Stellantis,Genel
18,İtalya,1899,Fiat,Stellantis,Genel
19,İtalya,1947,Ferrari,Ferrari N.V.,Süper spor
20,İtalya,1963,Lamborghini,Volkswagen Grubu,Süper spor
21,İsveç,1927,Volvo,Geely Holding,Premium
22,Çekya,1895,Skoda,Volkswagen Grubu,Genel
23,Güney Kore,1967,Hyundai,Hyundai Motor Group,Genel
24,Güney Kore,1944,Kia,Hyundai Motor Group,Genel
25,Türkiye,2018,Togg,Togg (konsorsiyum),Elektrikli
