No,Takım,Yaşam Alanı,Kuş,Familya,Kanat Açıklığı (cm),Ağırlık (g),Beslenme,Göçmen mi,Anavatan,Bilimsel Adı,Yumurta Sayısı,Görsel
1,Ötücü kuşlar,Yerleşim alanları,Serçe,Serçegiller,24,30,Tohum ve böcek,Yerli,Avrupa ve Asya,Passer domesticus,4-6,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/House_sparrow_male_in_Prospect_Park_%2853532%29.jpg/330px-House_sparrow_male_in_Prospect_Park_%2853532%29.jpg
2,Leyleksiler,Sulak alanlar,Leylek,Leylekgiller,200,3500,Kurbağa ve böcek,Göçmen,Avrupa ve Afrika,Ciconia ciconia,3-5,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/White_Stork_Wei%C3%9Fstorch_Ciconia_ciconia.jpg/330px-White_Stork_Wei%C3%9Fstorch_Ciconia_ciconia.jpg
3,Kartalsılar,Dağlık alanlar,Kızıl Akbaba,Kartalgiller,265,8000,Leş yiyici,Yerli,Avrupa ve Asya,Gyps fulvus,1,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Vulture_beak_sideview_A.jpg/330px-Vulture_beak_sideview_A.jpg
4,Ötücü kuşlar,Kırsal ve kentsel alanlar,Saksağan,Kargagiller,55,220,Hepçil,Yerli,Avrasya,Pica pica,5-7,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Pica_pica.jpg/330px-Pica_pica.jpg
5,Ötücü kuşlar,Çalılık ve bahçeler,Bülbül,Sinekkapangiller,22,20,Böcek ve solucan,Göçmen,Avrupa ve Asya,Luscinia megarhynchos,4-5,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Luscinia_megarhynchos_Istria_01.jpg/330px-Luscinia_megarhynchos_Istria_01.jpg
6,Kartalsılar,Dağlık alanlar,Kaya Kartalı,Kartalgiller,220,4500,Etçil,Yerli,Kuzey Yarımküre,Aquila chrysaetos,2,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Golden_eagle_on_power_pole_at_Seedskadee_National_Wildlife_Refuge_%2839619951341%29.jpg/330px-Golden_eagle_on_power_pole_at_Seedskadee_National_Wildlife_Refuge_%2839619951341%29.jpg
7,Baykuşsular,Ormanlık alanlar,Baykuş,Baykuşgiller,100,500,Kemirgen ve böcek,Yerli,Dünya geneli,Strigidae,3-5,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Portrait_of_owls.jpg/330px-Portrait_of_owls.jpg
8,Flamingosular,Tuz gölleri,Flamingo,Flamingogiller,150,3000,Karides ve yosun,Kısmi göçmen,Afrika ve Avrasya,Phoenicopterus roseus,1,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flamingos_Laguna_Colorada.jpg/330px-Flamingos_Laguna_Colorada.jpg
9,Ötücü kuşlar,Tarım alanları,Sığırcık,Sığırcıkgiller,40,80,Hepçil,Kısmi göçmen,Avrasya,Sturnus vulgaris,4-6,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Toulouse_-_Sturnus_vulgaris_-_2012-02-26_-_2.jpg/330px-Toulouse_-_Sturnus_vulgaris_-_2012-02-26_-_2.jpg
10,Penguensiler,Kutup bölgesi,İmparator Penguen,Penguengiller,90,30000,Balık ve kalamar,Yerli,Antarktika,Aptenodytes forsteri,1,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Aptenodytes_forsteri_-Snow_Hill_Island%2C_Antarctica_-adults_and_juvenile-8.jpg/330px-Aptenodytes_forsteri_-Snow_Hill_Island%2C_Antarctica_-adults_and_juvenile-8.jpg
11,Devekuşusular,Savan ve bozkır,Devekuşu,Devekuşugiller,200,110000,Hepçil,Yerli,Afrika,Struthio camelus,7-10,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/North_African_Ostrich_-_Masai_Ostrich_%28Struthio_camelus_massaicus%29_-_Flickr_-_Lip_Kee.jpg/330px-North_African_Ostrich_-_Masai_Ostrich_%28Struthio_camelus_massaicus%29_-_Flickr_-_Lip_Kee.jpg
12,Yelkovansılar,Açık okyanus,Albatros,Albatrosgiller,350,9000,Balık ve kalamar,Göçmen,Güney Okyanusu,Diomedea exulans,1,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Albatros2.jpg/330px-Albatros2.jpg
13,Sağanlar,Tropik ormanlar,Kolibri,Kolibrigiller,11,4,Çiçek nektarı,Kısmi göçmen,Amerika,Trochilidae,2,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Trinidad_and_Tobago_hummingbirds_composite.jpg/330px-Trinidad_and_Tobago_hummingbirds_composite.jpg
14,Ağaçkakansılar,Tropik ormanlar,Tukan,Tukangiller,60,600,Meyve ve böcek,Yerli,Güney Amerika,Ramphastos toco,2-4,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Tucano_Toco_sitio_Pindamonhngaba.jpg/330px-Tucano_Toco_sitio_Pindamonhngaba.jpg
15,Kazsılar,Göl ve nehirler,Kuğu,Ördekgiller,220,10000,Su bitkileri,Kısmi göçmen,Avrasya,Cygnus olor,5-7,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Bar_Vip..._gente_strana.JPG/330px-Bar_Vip..._gente_strana.JPG
16,Turnamsılar,Sulak alanlar,Turna,Turnagiller,220,5500,Hepçil,Göçmen,Avrasya,Grus grus,2,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Sarus_Crane_%28Grus_antigone%29_at_Sultanpur_I_Picture_151.jpg/330px-Sarus_Crane_%28Grus_antigone%29_at_Sultanpur_I_Picture_151.jpg
17,Pelikansılar,Göl ve deltalar,Pelikan,Pelikangiller,300,10000,Balık,Göçmen,Avrupa ve Asya,Pelecanus onocrotalus,2-3,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/0_Pelecanus_crispus_-_P%C3%A9licans_fris%C3%A9s_%281%29.JPG/330px-0_Pelecanus_crispus_-_P%C3%A9licans_fris%C3%A9s_%281%29.JPG
18,Yağmurkuşusular,Kıyı ve limanlar,Martı,Martıgiller,130,900,Hepçil,Kısmi göçmen,Kuzey Yarımküre,Larus argentatus,2-3,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Herring_Gull_%28Larus_argentatus%29%2C_Brighton%2C_England.JPG/330px-Herring_Gull_%28Larus_argentatus%29%2C_Brighton%2C_England.JPG
19,Ötücü kuşlar,Orman ve şehirler,Karga,Kargagiller,100,500,Hepçil,Yerli,Kuzey Yarımküre,Corvus corone,4-6,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Corvus_cornix_Hooded_Crow_Croatia_1076.jpg/330px-Corvus_cornix_Hooded_Crow_Croatia_1076.jpg
20,Ötücü kuşlar,Açık araziler,Kırlangıç,Kırlangıçgiller,33,20,Uçan böcek,Göçmen,Avrupa ve Afrika,Hirundo rustica,4-5,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/%D0%94%D0%B5%D1%80%D0%B5%D0%B2%D0%B5%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%BB%D0%B0%D1%81%D1%82%D0%BE%D1%87%D0%BA%D0%B0_%28Hirundo_rustica%29%2C_%D0%9C%D0%B5%D0%BB%D0%B8%D1%85%D0%BE%D0%B2%D0%BE.jpg/330px-%D0%94%D0%B5%D1%80%D0%B5%D0%B2%D0%B5%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%BB%D0%B0%D1%81%D1%82%D0%BE%D1%87%D0%BA%D0%B0_%28Hirundo_rustica%29%2C_%D0%9C%D0%B5%D0%BB%D0%B8%D1%85%D0%BE%D0%B2%D0%BE.jpg
