No,Familya,Tip,Bitki,Anavatan,Ortalama Boy,Çiçeklenme Mevsimi,Başlıca Kullanım,Ömür
1,Zeytingiller,Ağaç,Zeytin,Akdeniz havzası,8 m,İlkbahar,Meyve ve yağ,Çok yıllık
2,Çınargiller,Ağaç,Çınar,Anadolu ve Balkanlar,30 m,İlkbahar,Gölge ve süs,Çok yıllık
3,Kayıngiller,Ağaç,Meşe,Kuzey Yarımküre,25 m,İlkbahar,Kereste ve mantar,Çok yıllık
4,Zambakgiller,Otsu,Lale,Orta Asya ve Anadolu,30 cm,İlkbahar,Süs bitkisi,Çok yıllık
5,Gülgiller,Çalı,Gül,Asya,150 cm,İlkbahar ve yaz,Süs ve gül yağı,Çok yıllık
6,Buğdaygiller,Otsu,Buğday,Bereketli Hilal,100 cm,İlkbahar,Un ve ekmek,Tek yıllık
7,Papatyagiller,Otsu,Ayçiçeği,Kuzey Amerika,200 cm,Yaz,Yemeklik yağ,Tek yıllık
8,Çaygiller,Çalı,Çay,Çin ve Güneydoğu Asya,150 cm,Sonbahar,İçecek,Çok yıllık
9,Huşgiller,Çalı,Fındık,Karadeniz kıyıları,5 m,Kış sonu,Kuruyemiş ve yağ,Çok yıllık
10,Ballıbabagiller,Çalı,Kekik,Akdeniz havzası,40 cm,Yaz,Baharat ve şifa,Çok yıllık
11,Ballıbabagiller,Çalı,Lavanta,Akdeniz havzası,60 cm,Yaz,Esans ve süs,Çok yıllık
12,Sarmaşıkgiller,Tırmanıcı,Sarmaşık,Avrupa ve Batı Asya,20 m,Sonbahar,Duvar ve cephe bitkisi,Çok yıllık
13,Kaktüsgiller,Çalı,Kaktüs,Amerika çölleri,2 m,İlkbahar,Süs ve meyve,Çok yıllık
14,Asmagiller,Tırmanıcı,Asma,Kafkasya ve Anadolu,10 m,İlkbahar,Üzüm ve yaprak,Çok yıllık
15,Çamgiller,Ağaç,Çam,Kuzey Yarımküre,30 m,İlkbahar,Kereste ve reçine,Çok yıllık
16,Söğütgiller,Ağaç,Kavak,Kuzey Yarımküre,25 m,İlkbahar,Kereste ve kağıt,Çok yıllık
17,Söğütgiller,Ağaç,Söğüt,Asya ve Avrupa,15 m,İlkbahar,Gölge ve sepetçilik,Çok yıllık
18,Gülgiller,Ağaç,Elma,Orta Asya,6 m,İlkbahar,Meyve,Çok yıllık
19,Gülgiller,Ağaç,Kiraz,Anadolu,8 m,İlkbahar,Meyve,Çok yıllık
20,Dutgiller,Ağaç,İncir,Akdeniz ve Anadolu,7 m,İlkbahar,Meyve,Çok yıllık
21,Nargiller,Ağaç,Nar,İran ve Anadolu,5 m,İlkbahar,Meyve ve şurup,Çok yıllık
22,Ebegümecigiller,Çalı,Pamuk,Hindistan ve Amerika,120 cm,Yaz,Tekstil lifi,Tek yıllık
23,Buğdaygiller,Otsu,Mısır,Orta Amerika,250 cm,Yaz,Gıda ve hayvan yemi,Tek yıllık
24,Buğdaygiller,Otsu,Pirinç,Güneydoğu Asya,120 cm,Yaz,Temel gıda,Tek yıllık
25,Patlıcangiller,Otsu,Domates,Güney Amerika,150 cm,Yaz,Sebze ve salça,Tek yıllık
26,Patlıcangiller,Otsu,Patates,And Dağları,60 cm,Yaz,Temel gıda,Tek yıllık
27,Papatyagiller,Otsu,Papatya,Avrupa ve Anadolu,50 cm,İlkbahar,Bitki çayı,Tek yıllık
28,Ballıbabagiller,Otsu,Nane,Akdeniz ve Asya,50 cm,Yaz,Baharat ve çay,Çok yıllık
29,Turnagagasıgiller,Otsu,Sardunya,Güney Afrika,50 cm,İlkbahar ve yaz,Süs bitkisi,Çok yıllık
30,Baklagiller,Tırmanıcı,Fasulye,Orta Amerika,250 cm,Yaz,Sebze ve kuru bakliyat,Tek yıllık
