No,Yıl,Taraflar,Savaş,Kazanan,Yer,Süre,Sonuç/Önemi
1,MÖ 1274,Mısır - Hitit,Kadeş Savaşı,Berabere,Kadeş - Suriye,1 gün,Tarihin ilk yazılı antlaşması imzalandı
2,MÖ 490,Atina - Pers,Maraton Savaşı,Atina,Maraton - Yunanistan,1 gün,Pers ilerleyişi Avrupa'da durduruldu
3,MÖ 331,Makedonya - Pers,Gaugamela Savaşı,Makedonya,Gaugamela - Irak,1 gün,Pers İmparatorluğu yıkıldı
4,MÖ 216,Kartaca - Roma,Kannae Savaşı,Kartaca,Kannae - İtalya,1 gün,Kuşatma taktiğinin klasik örneği oldu
5,1040,Selçuklu - Gazneli,Dandanakan Savaşı,Büyük Selçuklu,Dandanakan - Türkmenistan,1 gün,Büyük Selçuklu Devleti kuruldu
6,1071,Selçuklu - Bizans,Malazgirt Savaşı,Büyük Selçuklu,Malazgirt - Muş,1 gün,Anadolu'nun kapıları Türklere açıldı
7,1176,Selçuklu - Bizans,Miryokefalon Savaşı,Anadolu Selçuklu,Denizli yöresi,1 gün,Anadolu'nun Türk yurdu olduğu kesinleşti
8,1187,Eyyubiler - Haçlılar,Hittin Savaşı,Eyyubiler,Hittin - Filistin,1 gün,Kudüs Haçlılardan geri alındı
9,1389,Osmanlı - Balkan Haçlı Ordusu,I. Kosova Savaşı,Osmanlı,Kosova,1 gün,Balkanlarda Osmanlı hakimiyeti güçlendi
10,1396,Osmanlı - Haçlı Ordusu,Niğbolu Savaşı,Osmanlı,Niğbolu - Bulgaristan,1 gün,Osmanlı Balkan hakimiyeti pekişti
11,1402,Osmanlı - Timur,Ankara Savaşı,Timur,Çubuk Ovası - Ankara,1 gün,Fetret Devri başladı
12,1444,Osmanlı - Haçlı Ordusu,Varna Savaşı,Osmanlı,Varna - Bulgaristan,1 gün,Haçlı tehdidi kırıldı
13,1453,Osmanlı - Bizans,İstanbul'un Fethi,Osmanlı,İstanbul,53 gün,Orta Çağ kapandı Yeni Çağ açıldı
14,1473,Osmanlı - Akkoyunlu,Otlukbeli Savaşı,Osmanlı,Erzincan,1 gün,Doğu Anadolu Osmanlı'ya bağlandı
15,1514,Osmanlı - Safevi,Çaldıran Savaşı,Osmanlı,Çaldıran - Van,1 gün,Doğu Anadolu güvence altına alındı
16,1516,Osmanlı - Memlük,Mercidabık Savaşı,Osmanlı,Halep - Suriye,1 gün,Suriye Osmanlı topraklarına katıldı
17,1517,Osmanlı - Memlük,Ridaniye Savaşı,Osmanlı,Kahire - Mısır,1 gün,Halifelik Osmanlı'ya geçti
18,1526,Osmanlı - Macaristan,Mohaç Meydan Savaşı,Osmanlı,Mohaç - Macaristan,2 saat,Macaristan Krallığı yıkıldı
19,1529,Osmanlı - Avusturya,I. Viyana Kuşatması,Sonuçsuz,Viyana - Avusturya,20 gün,Osmanlı Orta Avrupa'ya ulaştı
20,1538,Osmanlı - Haçlı Donanması,Preveze Deniz Savaşı,Osmanlı,Preveze - Yunanistan,1 gün,Akdeniz Türk gölü haline geldi
21,1571,Osmanlı - Haçlı Donanması,İnebahtı Deniz Savaşı,Haçlı Donanması,İnebahtı - Yunanistan,1 gün,Osmanlı donanması büyük kayıp verdi
22,1683,Osmanlı - Avusturya ve Lehistan,II. Viyana Kuşatması,Avusturya ve Lehistan,Viyana - Avusturya,60 gün,Osmanlı gerileme dönemine girdi
23,1805,İngiltere - Fransa ve İspanya,Trafalgar Deniz Savaşı,İngiltere,Trafalgar - İspanya,1 gün,İngiltere denizlerin hakimi oldu
24,1815,Fransa - İngiltere ve Prusya,Waterloo Savaşı,İngiltere ve Prusya,Waterloo - Belçika,1 gün,Napolyon dönemi sona erdi
25,1915,Osmanlı - İtilaf Devletleri,Çanakkale Savaşı,Osmanlı,Çanakkale,11 ay,Çanakkale geçilmedi ve destan yazıldı
26,1921,TBMM Ordusu - Yunanistan,İnönü Muharebeleri,TBMM Ordusu,İnönü - Eskişehir,2 muharebe,Düzenli ordunun ilk zaferleri kazanıldı
27,1921,TBMM Ordusu - Yunanistan,Sakarya Meydan Muharebesi,TBMM Ordusu,Sakarya - Polatlı,22 gün,Türk ordusu savunmadan taarruza geçti
28,1922,TBMM Ordusu - Yunanistan,Büyük Taarruz,TBMM Ordusu,Dumlupınar - Kütahya,15 gün,Kurtuluş Savaşı zaferle sonuçlandı
29,1942,Almanya - Sovyetler Birliği,Stalingrad Muharebesi,Sovyetler Birliği,Stalingrad - Rusya,5 ay,II. Dünya Savaşı'nın dönüm noktası oldu
30,1944,Müttefikler - Almanya,Normandiya Çıkarması,Müttefikler,Normandiya - Fransa,3 ay,Batı Cephesi açıldı
