No,Tür,Çalınış Şekli,Müzik Aleti,Anavatan/Kültür,Tel/Perde Sayısı,Malzeme,Kullanıldığı Müzik,Ünlü İcracı,Ses Karakteri,Görsel
1,Telli,Mızrapla,Bağlama,Anadolu,7 tel,Dut ağacı ve tel,Türk halk müziği,Aşık Veysel,Orta-Tiz,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Tamburasaz-Baglamasaz.jpg/330px-Tamburasaz-Baglamasaz.jpg
2,Telli,Mızrapla,Ud,Mezopotamya-Anadolu,11 tel,Maun ve ceviz ağacı,Türk sanat müziği,Münir Nurettin Selçuk,Orta-Pes,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Oud2.jpg/330px-Oud2.jpg
3,Telli,Mızrapla,Kanun,Ortadoğu-Anadolu,72-79 tel,Ladin ağacı ve deri,Türk sanat müziği,Göksel Baktagir,Tiz,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Q%C4%81n%C5%ABn_-_MET_89.4.330.jpg/330px-Q%C4%81n%C5%ABn_-_MET_89.4.330.jpg
4,Üflemeli,Nefesle,Ney,Anadolu-İran,7 delik,Kamış,Tasavvuf müziği,Niyazi Sayın,Orta,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Boynuz_ba%C5%9Fpareli_k%C4%B1z_ve_y%C4%B1ld%C4%B1z_ney.jpeg/500px-Boynuz_ba%C5%9Fpareli_k%C4%B1z_ve_y%C4%B1ld%C4%B1z_ney.jpeg
5,Yaylı,Yayla,Kemençe,Karadeniz,3 tel,Erik ağacı ve tel,Karadeniz halk müziği,Picoğlu Osman,Tiz,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/KemencheFactory.jpg/330px-KemencheFactory.jpg
6,Üflemeli,Nefesle,Zurna,Anadolu,8 delik,Erik ağacı ve kamış,Türk halk müziği,-,Tiz,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Zurna_%28RNMM%29.jpg/500px-Zurna_%28RNMM%29.jpg
7,Vurmalı,Tokmakla,Davul,Anadolu,-,Ceviz ağacı ve deri,Türk halk müziği,-,Pes,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Chicago_Turkish_Festival_Davul_1.jpg/500px-Chicago_Turkish_Festival_Davul_1.jpg
8,Vurmalı,Elle,Darbuka,Ortadoğu-Anadolu,-,Toprak ve deri,Türk halk müziği,Burhan Öçal,Orta,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Goblet_drum_01.jpg/330px-Goblet_drum_01.jpg
9,Üflemeli,Nefesle,Kaval,Anadolu,7 delik,Erik ağacı,Türk halk müziği,-,Orta,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/BatuhanAydinKaval.jpg/500px-BatuhanAydinKaval.jpg
10,Üflemeli,Nefesle,Sipsi,Teke yöresi,5 delik,Kamış,Türk halk müziği,-,Tiz,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Sipsi.jpg/500px-Sipsi.jpg
11,Üflemeli,Nefesle,Tulum,Doğu Karadeniz,5 delik,Oğlak derisi ve şimşir,Karadeniz halk müziği,-,Tiz,https://upload.wikimedia.org/wikipedia/commons/5/57/Tulumcu.jpg
