No,Ülke,Yıl,Yazar,Yazdığı Dil,Öne Çıkan Eseri,Başlıca Türü
1,İtalya,1975,Eugenio Montale,İtalyanca,Mürekkep Balığı Kemikleri,Şiir
2,ABD,1976,Saul Bellow,İngilizce,Herzog,Roman
3,İspanya,1977,Vicente Aleixandre,İspanyolca,Yıkım ya da Aşk,Şiir
4,ABD,1978,Isaac Bashevis Singer,Yidiş,Köle,Roman
5,Yunanistan,1979,Odysseas Elytis,Yunanca,Aksiyon Esti,Şiir
6,Polonya,1980,Czeslaw Milosz,Lehçe,Tutsak Edilmiş Akıl,Şiir ve deneme
7,Birleşik Krallık,1981,Elias Canetti,Almanca,Körleşme,Roman
8,Kolombiya,1982,Gabriel Garcia Marquez,İspanyolca,Yüzyıllık Yalnızlık,Roman
9,Birleşik Krallık,1983,William Golding,İngilizce,Sineklerin Tanrısı,Roman
10,Çekoslovakya,1984,Jaroslav Seifert,Çekçe,Dünyanın Bütün Güzellikleri,Şiir
11,Fransa,1985,Claude Simon,Fransızca,Flander Yolu,Roman
12,Nijerya,1986,Wole Soyinka,İngilizce,Ölüm ve Kralın Atlısı,Tiyatro
13,ABD,1987,Joseph Brodsky,Rusça ve İngilizce,Bir Buçuk Odada,Şiir ve deneme
14,Mısır,1988,Necib Mahfuz,Arapça,Midak Sokağı,Roman
15,İspanya,1989,Camilo Jose Cela,İspanyolca,Pascual Duarte'nin Ailesi,Roman
16,Meksika,1990,Octavio Paz,İspanyolca,Yalnızlık Dolambacı,Şiir ve deneme
17,Güney Afrika,1991,Nadine Gordimer,İngilizce,Koruyucu,Roman
18,Saint Lucia,1992,Derek Walcott,İngilizce,Omeros,Şiir
19,ABD,1993,Toni Morrison,İngilizce,Sevilen,Roman
20,Japonya,1994,Kenzaburo Oe,Japonca,Kişisel Bir Sorun,Roman
21,İrlanda,1995,Seamus Heaney,İngilizce,Bir Doğabilimcinin Ölümü,Şiir
22,Polonya,1996,Wislawa Szymborska,Lehçe,Bitti Başlıyor,Şiir
23,İtalya,1997,Dario Fo,İtalyanca,Bir Anarşistin Kaza Sonucu Ölümü,Tiyatro
24,Portekiz,1998,Jose Saramago,Portekizce,Körlük,Roman
25,Almanya,1999,Günter Grass,Almanca,Teneke Trampet,Roman
26,Fransa,2000,Gao Xingjian,Çince,Ruh Dağı,Roman
27,Birleşik Krallık,2001,V. S. Naipaul,İngilizce,Bir Nehir Dönemeci,Roman
28,Macaristan,2002,Imre Kertesz,Macarca,Kadersizlik,Roman
29,Güney Afrika,2003,J. M. Coetzee,İngilizce,Utanç,Roman
30,Avusturya,2004,Elfriede Jelinek,Almanca,Piyanist,Roman
31,Birleşik Krallık,2005,Harold Pinter,İngilizce,Doğum Günü Partisi,Tiyatro
32,Türkiye,2006,Orhan Pamuk,Türkçe,Benim Adım Kırmızı,Roman
33,Birleşik Krallık,2007,Doris Lessing,İngilizce,Altın Defter,Roman
34,Fransa,2008,J. M. G. Le Clezio,Fransızca,Tutanak,Roman
35,Almanya,2009,Herta Müller,Almanca,Nefes Salıncağı,Roman
36,Peru,2010,Mario Vargas Llosa,İspanyolca,Teke Şenliği,Roman
37,İsveç,2011,Tomas Transtromer,İsveççe,Yarım Kalmış Gökyüzü,Şiir
38,Çin,2012,Mo Yan,Çince,Kızıl Darı Tarlaları,Roman
39,Kanada,2013,Alice Munro,İngilizce,Firar,Öykü
40,Fransa,2014,Patrick Modiano,Fransızca,Karanlık Dükkanlar Sokağı,Roman
41,Belarus,2015,Svetlana Aleksiyeviç,Rusça,Çernobil Duası,Belgesel anlatı
42,ABD,2016,Bob Dylan,İngilizce,Blowin' in the Wind,Şarkı sözü
43,Birleşik Krallık,2017,Kazuo Ishiguro,İngilizce,Günden Kalanlar,Roman
44,Polonya,2018,Olga Tokarczuk,Lehçe,Koşucular,Roman
45,Avusturya,2019,Peter Handke,Almanca,Kalecinin Penaltı Anındaki Endişesi,Roman
46,ABD,2020,Louise Glück,İngilizce,Yaban Süseni,Şiir
47,Tanzanya,2021,Abdulrazak Gurnah,İngilizce,Cennet,Roman
48,Fransa,2022,Annie Ernaux,Fransızca,Seneler,Otobiyografik anlatı
49,Norveç,2023,Jon Fosse,Norveççe,Septology,Roman ve tiyatro
50,Güney Kore,2024,Han Kang,Korece,Vejetaryen,Roman
51,Macaristan,2025,Laszlo Krasznahorkai,Macarca,Şeytan Tangosu,Roman
