No,Ev Sahibi Ülke,Yıl,Olimpiyat,Şehir,Katılan Ülke Sayısı,Madalya Sıralaması Lideri,Kıta,Öne Çıkan Özelliği
1,Yunanistan,1896,1896 Atina Olimpiyatları,Atina,14,ABD,Avrupa,Modern olimpiyatların ilki
2,Fransa,1900,1900 Paris Olimpiyatları,Paris,26,Fransa,Avrupa,Kadın sporcuların ilk kez katılması
3,ABD,1904,1904 St. Louis Olimpiyatları,St. Louis,13,ABD,Kuzey Amerika,Altın-gümüş-bronz madalya düzeninin başlangıcı
4,Birleşik Krallık,1908,1908 Londra Olimpiyatları,Londra,22,Birleşik Krallık,Avrupa,Maraton mesafesinin 42.195 km olarak sabitlenmesi
5,İsveç,1912,1912 Stockholm Olimpiyatları,Stockholm,28,ABD,Avrupa,Elektronik kronometrenin ilk kullanımı
6,Belçika,1920,1920 Anvers Olimpiyatları,Anvers,29,ABD,Avrupa,Olimpiyat bayrağının ilk kez göndere çekilmesi
7,Fransa,1924,1924 Paris Olimpiyatları,Paris,44,ABD,Avrupa,Olimpiyat köyünün ilk kez kurulması
8,Hollanda,1928,1928 Amsterdam Olimpiyatları,Amsterdam,46,ABD,Avrupa,Olimpiyat ateşinin ilk kez yakılması
9,ABD,1932,1932 Los Angeles Olimpiyatları,Los Angeles,37,ABD,Kuzey Amerika,Üç basamaklı madalya kürsüsünün ilk kullanımı
10,Almanya,1936,1936 Berlin Olimpiyatları,Berlin,49,Almanya,Avrupa,Meşale rölesinin ilk kez düzenlenmesi
11,Birleşik Krallık,1948,1948 Londra Olimpiyatları,Londra,59,ABD,Avrupa,Savaş sonrası ilk olimpiyat
12,Finlandiya,1952,1952 Helsinki Olimpiyatları,Helsinki,69,ABD,Avrupa,Sovyetler Birliği'nin ilk katılımı
13,Avustralya,1956,1956 Melbourne Olimpiyatları,Melbourne,72,SSCB,Okyanusya,Güney yarımkürede düzenlenen ilk olimpiyat
14,İtalya,1960,1960 Roma Olimpiyatları,Roma,83,SSCB,Avrupa,Televizyonda geniş çapta yayınlanan ilk olimpiyat
15,Japonya,1964,1964 Tokyo Olimpiyatları,Tokyo,93,ABD,Asya,Asya'da düzenlenen ilk olimpiyat
16,Meksika,1968,1968 Meksiko Olimpiyatları,Meksiko,112,ABD,Kuzey Amerika,Yüksek rakımın rekorlara etkisi
17,Batı Almanya,1972,1972 Münih Olimpiyatları,Münih,121,SSCB,Avrupa,Mark Spitz'in yedi altın madalyası
18,Kanada,1976,1976 Montreal Olimpiyatları,Montreal,92,SSCB,Kuzey Amerika,Nadia Comaneci'nin ilk 10 puanı
19,SSCB,1980,1980 Moskova Olimpiyatları,Moskova,80,SSCB,Avrupa,Batı bloğunun boykotu
20,ABD,1984,1984 Los Angeles Olimpiyatları,Los Angeles,140,ABD,Kuzey Amerika,Doğu bloğunun karşı boykotu
21,Güney Kore,1988,1988 Seul Olimpiyatları,Seul,160,SSCB,Asya,Tenisin olimpiyat programına dönüşü
22,İspanya,1992,1992 Barselona Olimpiyatları,Barselona,169,Birleşik Ekip,Avrupa,NBA yıldızlarından oluşan Rüya Takım
23,ABD,1996,1996 Atlanta Olimpiyatları,Atlanta,197,ABD,Kuzey Amerika,Modern olimpiyatların yüzüncü yılı
24,Avustralya,2000,2000 Sidney Olimpiyatları,Sidney,199,ABD,Okyanusya,Cathy Freeman'ın 400 metre zaferi
25,Yunanistan,2004,2004 Atina Olimpiyatları,Atina,201,ABD,Avrupa,Olimpiyatların doğduğu ülkeye dönüşü
26,Çin,2008,2008 Pekin Olimpiyatları,Pekin,204,Çin,Asya,Michael Phelps'in sekiz altın madalyası
27,Birleşik Krallık,2012,2012 Londra Olimpiyatları,Londra,204,ABD,Avrupa,Londra'nın üçüncü kez ev sahipliği
28,Brezilya,2016,2016 Rio de Janeiro Olimpiyatları,Rio de Janeiro,207,ABD,Güney Amerika,Güney Amerika'da düzenlenen ilk olimpiyat
29,Japonya,2020,2020 Tokyo Olimpiyatları,Tokyo,206,ABD,Asya,Salgın nedeniyle 2021'e ertelenmesi
30,Fransa,2024,2024 Paris Olimpiyatları,Paris,204,ABD,Avrupa,Açılış töreninin stadyum dışında yapılması
